,ACALD,ACALDt,ACKr,ACONTa,ACONTb,ACt2r,ADK1,AKGDH,AKGt2r,ALCD2x,ATPM,ATPS4r,BIOMASS_Ecoli_core_w_GAM,CO2t,CS,CYTBD,D_LACt2,ENO,ETOHt2r,EX_ac_e,EX_acald_e,EX_akg_e,EX_co2_e,EX_etoh_e,EX_for_e,EX_fru_e,EX_fum_e,EX_glc__D_e,EX_gln__L_e,EX_glu__L_e,EX_h_e,EX_h2o_e,EX_lac__D_e,EX_mal__L_e,EX_nh4_e,EX_o2_e,EX_pi_e,EX_pyr_e,EX_succ_e,FBA,FBP,FORt2,FORt,FRD7,FRUpts2,FUM,FUMt2_2,G6PDH2r,GAPD,GLCpts,GLNS,GLNabc,GLUDy,GLUN,GLUSy,GLUt2r,GND,H2Ot,ICDHyr,ICL,LDH_D,MALS,MALt2_2,MDH,ME1,ME2,NADH16,NADTRHD,NH4t,O2t,PDH,PFK,PFL,PGI,PGK,PGL,PGM,PIt2r,PPC,PPCK,PPS,PTAr,PYK,PYRt2,RPE,RPI,SUCCt2_2,SUCCt3,SUCDi,SUCOAS,TALA,THD2,TKT1,TKT2,TPI,EDD,EDA,PRK,RBC,EX_6pgc_e,EX_r5p_e,EX_xu5p__D_e,EX_2pg_e,EX_dhap_e,EX_redox_e,6pgc_t,r5p_t,xu5p__D_t,2pg_t,dhap_t,fraction_of_optimum,overflow_allowed,atp_maintenance_lb,rub_pct_3pg_prod,pgk_pct_3pg_prod,pgm_pct_3pg_cons,ser_pct_3pg_cons
fluxes,0.0,0.0,-144.84075225195707,142.3962402711621,142.3962402711621,-144.84075225195707,0.0,106.11752166237599,0.0,0.0,0.0,805.1766033027196,33.625654471022436,-492.9049455296803,142.3962402711621,908.0606527914628,0.0,622.326727023199,0.0,144.84075225195707,0.0,0.0,492.9049455296803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.3713809406673,0.0,0.0,0.0,-183.35396869959115,-454.0303263957314,614.1489678558471,0.0,0.0,-81.78767936986787,81.78767936986787,0.0,0.0,0.0,0.0,106.11752166237599,0.0,0.0,527.609983509223,0.0,8.598079848240436,0.0,-174.7558888513507,0.0,0.0,0.0,0.0,5.400124791776761e-13,142.3962402711621,0.0,0.0,0.0,0.0,106.11752166237599,0.0,0.0,801.9431311290867,0.0,183.35396869959115,454.0303263957314,413.25922034961695,0.0,0.0,-6.893259166559599,-527.609983509223,0.0,-622.326727023199,-614.1489678558471,96.35767545216197,0.0,0.0,144.84075225195707,508.5139743351293,0.0,-72.51036130131278,0.0,0.0,0.0,106.11752166237599,-106.11752166237599,-30.185750018636842,470.43131246322184,-30.185750018636842,-42.324611282675946,656.0599835885287,0.0,0.0,72.51036130131278,72.51036130131278,0.0,0.0,0.0,0.0,-737.8476629583965,0.0,0.0,0.0,0.0,0.0,737.8476629583965,0.8,True,0,21.560229303375092,92.52130795820601,92.52130795820601,7.478692041793991
fluxes,0.0,0.0,-146.2519413608863,142.07383368941615,142.07383368941615,-146.2519413608863,0.0,105.8772555755933,0.0,0.0,10.0,808.1361706324043,33.54952091372959,-493.52806476703756,142.07383368941615,909.48292727735,0.0,622.656815811892,0.0,146.2519413608863,0.0,0.0,493.52806476703756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.255330890302,0.0,0.0,0.0,-182.93882763838468,-454.741463638675,614.4975723256738,0.0,0.0,-81.60249971846449,81.60249971846449,0.0,0.0,0.0,0.0,105.8772555755933,0.0,0.0,528.1545253020985,0.0,8.578612497640655,0.0,-174.36021514074403,0.0,0.0,0.0,0.0,5.968558980384842e-13,142.07383368941615,0.0,0.0,0.0,0.0,105.8772555755933,0.0,0.0,803.6056717017567,0.0,182.93882763838468,454.741463638675,414.0626695307782,0.0,0.0,-6.877651787314565,-528.1545253020985,0.0,-622.656815811892,-614.4975723256738,96.13950713038355,0.0,0.0,146.2519413608863,509.1017523751914,0.0,-72.34618689836648,0.0,0.0,0.0,105.8772555755933,-105.8772555755933,-30.11740492425505,469.3661849633055,-30.11740492425505,-42.228781974111435,656.3136951925454,0.0,0.0,72.34618689836648,72.34618689836648,0.0,0.0,0.0,0.0,-737.9161949110099,0.0,0.0,0.0,0.0,0.0,737.9161949110099,0.8,True,10,21.504501839946766,92.54063838977918,92.54063838977918,7.4593616102208244
fluxes,0.0,0.0,-147.66313046981548,141.75142710767014,141.75142710767014,-147.66313046981548,0.0,105.63698948881058,0.0,0.0,20.0,811.0957379620883,33.473387356436696,-494.15118400439474,141.75142710767014,910.9052017632365,0.0,622.9869046005842,0.0,147.66313046981548,0.0,0.0,494.15118400439474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.139280839936,0.0,0.0,0.0,-182.523686577178,-455.45260088161825,614.8461767954997,0.0,0.0,-81.41732006706098,81.41732006706098,0.0,0.0,0.0,0.0,105.63698948881058,0.0,0.0,528.6990670949734,0.0,8.559145147040862,0.0,-173.96454143013716,0.0,0.0,0.0,0.0,-4.973799150320701e-13,141.75142710767014,0.0,0.0,0.0,0.0,105.63698948881058,0.0,0.0,805.2682122744259,0.0,182.523686577178,455.45260088161825,414.8661187119391,0.0,0.0,-6.862044408069522,-528.6990670949734,0.0,-622.9869046005842,-614.8461767954997,95.92133880860501,0.0,0.0,147.66313046981548,509.689530415253,0.0,-72.1820124954201,0.0,0.0,0.0,105.63698948881058,-105.63698948881058,-30.049059829873222,468.3010574633889,-30.049059829873222,-42.132952665546874,656.5674067965615,0.0,0.0,72.1820124954201,72.1820124954201,0.0,0.0,0.0,0.0,-737.9847268636225,0.0,0.0,0.0,0.0,0.0,737.9847268636225,0.8,True,20,21.44881017668908,92.55995640318889,92.55995640318889,7.440043596811108
fluxes,0.0,0.0,-149.0743195787446,141.429020525924,141.429020525924,-149.0743195787446,0.0,105.39672340202773,0.0,0.0,30.0,814.055305291771,33.3972537991438,-494.77430324175106,141.429020525924,912.3274762491221,0.0,623.316993389276,0.0,149.0743195787446,0.0,0.0,494.77430324175106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.0232307895692,0.0,0.0,0.0,-182.1085455159713,-456.16373812456106,615.1947812653251,0.0,0.0,-81.23214041565747,81.23214041565747,0.0,0.0,0.0,0.0,105.39672340202773,0.0,0.0,529.2436088878478,0.0,8.539677796441069,0.0,-173.56886771953023,0.0,0.0,0.0,0.0,6.536993168992922e-13,141.429020525924,0.0,0.0,0.0,0.0,105.39672340202773,0.0,0.0,806.9307528470944,0.0,182.1085455159713,456.16373812456106,415.6695678930995,0.0,0.0,-6.846437028824478,-529.2436088878478,0.0,-623.316993389276,-615.1947812653251,95.70317048682648,0.0,0.0,149.0743195787446,510.277308455314,0.0,-72.01783809247368,0.0,0.0,0.0,105.39672340202773,-105.39672340202773,-29.98071473549139,467.23592996347173,-29.98071473549139,-42.037123356982306,656.8211184005771,0.0,0.0,72.01783809247368,72.01783809247368,0.0,0.0,0.0,0.0,-738.0532588162346,0.0,0.0,0.0,0.0,0.0,738.0532588162346,0.8,True,30,21.393154279115272,92.57926201039778,92.57926201039778,7.420737989602216
fluxes,0.0,0.0,-150.48550868767362,141.10661394417815,141.10661394417815,-150.48550868767362,0.0,105.15645731524516,0.0,0.0,40.0,817.0148726214553,33.32112024185094,-495.39742247910874,141.10661394417815,913.7497507350093,0.0,623.6470821779691,0.0,150.48550868767362,0.0,0.0,495.39742247910874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.9071807392038,0.0,0.0,0.0,-181.69340445476482,-456.87487536750467,615.5433857351518,0.0,0.0,-81.04696076425405,81.04696076425405,0.0,0.0,0.0,0.0,105.15645731524516,0.0,0.0,529.7881506807233,0.0,8.520210445841284,0.0,-173.17319400892353,0.0,0.0,0.0,0.0,2.7000623958883807e-13,141.10661394417815,0.0,0.0,0.0,0.0,105.15645731524516,0.0,0.0,808.5932934197642,0.0,181.69340445476482,456.87487536750467,416.47301707426084,0.0,0.0,-6.830829649579442,-529.7881506807233,0.0,-623.6470821779691,-615.5433857351518,95.48500216504806,0.0,0.0,150.48550868767362,510.8650864953762,0.0,-71.85366368952738,0.0,0.0,0.0,105.15645731524516,-105.15645731524516,-29.912369641109592,466.1708024635554,-29.912369641109592,-41.94129404841779,657.0748300045939,0.0,0.0,71.85366368952738,71.85366368952738,0.0,0.0,0.0,0.0,-738.121790768848,0.0,0.0,0.0,0.0,0.0,738.121790768848,0.8,True,40,21.337534112782805,92.59855522335303,92.59855522335303,7.401444776646969
fluxes,0.0,0.0,-151.8966977966028,140.78420736243203,140.78420736243203,-151.8966977966028,0.0,104.91619122846232,0.0,0.0,50.0,819.9744399511391,33.244986684558064,-496.02054171646506,140.78420736243203,915.1720252208955,0.0,623.9771709666612,0.0,151.8966977966028,0.0,0.0,496.02054171646506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.7911306888375,0.0,0.0,0.0,-181.2782633935582,-457.58601261044777,615.8919902049774,0.0,0.0,-80.86178111285058,80.86178111285058,0.0,0.0,0.0,0.0,104.91619122846232,0.0,0.0,530.332692473598,0.0,8.500743095241496,0.0,-172.77752029831672,0.0,0.0,0.0,0.0,8.668621376273222e-13,140.78420736243203,0.0,0.0,0.0,0.0,104.91619122846232,0.0,0.0,810.2558339924332,0.0,181.2782633935582,457.58601261044777,417.2764662554214,0.0,0.0,-6.815222270334403,-530.332692473598,0.0,-623.9771709666612,-615.8919902049774,95.26683384326964,0.0,0.0,151.8966977966028,511.45286453543747,0.0,-71.68948928658101,0.0,0.0,0.0,104.91619122846232,-104.91619122846232,-29.844024546727777,465.1056749636385,-29.844024546727777,-41.84546473985324,657.3285416086097,0.0,0.0,71.68948928658101,71.68948928658101,0.0,0.0,0.0,0.0,-738.1903227214603,0.0,0.0,0.0,0.0,0.0,738.1903227214603,0.8,True,50,21.281949643293412,92.61783605398654,92.61783605398654,7.382163946013463
fluxes,0.0,0.0,-153.30788690553197,140.46180078068605,140.46180078068605,-153.30788690553197,0.0,104.67592514167964,0.0,0.0,60.0,822.9340072808234,33.16885312726519,-496.6436609538224,140.46180078068605,916.5942997067823,0.0,624.3072597553538,0.0,153.30788690553197,0.0,0.0,496.6436609538224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.6750806384717,0.0,0.0,0.0,-180.86312233235162,-458.29714985339115,616.2405946748037,0.0,0.0,-80.67660146144712,80.67660146144712,0.0,0.0,0.0,0.0,104.67592514167964,0.0,0.0,530.8772342664731,0.0,8.481275744641708,0.0,-172.3818465877099,0.0,0.0,0.0,0.0,2.5579538487363607e-13,140.46180078068605,0.0,0.0,0.0,0.0,104.67592514167964,0.0,0.0,811.9183745651027,0.0,180.86312233235162,458.29714985339115,418.0799154365825,0.0,0.0,-6.799614891089363,-530.8772342664731,0.0,-624.3072597553538,-616.2405946748037,95.0486655214911,0.0,0.0,153.30788690553197,512.0406425754993,0.0,-71.52531488363465,0.0,0.0,0.0,104.67592514167964,-104.67592514167964,-29.775679452345962,464.0405474637219,-29.775679452345962,-41.749635431288695,657.5822532126261,0.0,0.0,71.52531488363465,71.52531488363465,0.0,0.0,0.0,0.0,-738.2588546740733,0.0,0.0,0.0,0.0,0.0,738.2588546740733,0.8,True,60,21.226400836292914,92.63710451421485,92.63710451421485,7.362895485785145
fluxes,0.0,0.0,-154.71907601446117,140.1393941989401,140.1393941989401,-154.71907601446117,0.0,104.43565905489697,0.0,0.0,70.0,825.8935746105071,33.09271956997231,-497.2667801911797,140.1393941989401,918.0165741926692,0.0,624.6373485440462,0.0,154.71907601446117,0.0,0.0,497.2667801911797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.559030588106,0.0,0.0,0.0,-180.447981271145,-459.0082870963346,616.5891991446297,0.0,0.0,-80.49142181004365,80.49142181004365,0.0,0.0,0.0,0.0,104.43565905489697,0.0,0.0,531.4217760593483,0.0,8.461808394041919,0.0,-171.9861728771031,0.0,0.0,0.0,0.0,0.0,140.1393941989401,0.0,0.0,0.0,0.0,104.43565905489697,0.0,0.0,813.5809151377722,0.0,180.447981271145,459.0082870963346,418.88336461774344,0.0,0.0,-6.784007511844323,-531.4217760593483,0.0,-624.6373485440462,-616.5891991446297,94.83049719971257,0.0,0.0,154.71907601446117,512.628420615561,0.0,-71.36114048068829,0.0,0.0,0.0,104.43565905489697,-104.43565905489697,-29.707334357964143,462.97541996380545,-29.707334357964143,-41.65380612272415,657.8359648166424,0.0,0.0,71.36114048068829,71.36114048068829,0.0,0.0,0.0,0.0,-738.3273866266861,0.0,0.0,0.0,0.0,0.0,738.3273866266861,0.8,True,70,21.17088765747125,92.65636061593928,92.65636061593928,7.343639384060722
fluxes,0.0,0.0,-156.1302651233902,139.816987617194,139.816987617194,-156.1302651233902,0.0,104.19539296811419,0.0,0.0,80.0,828.8531419401909,33.016586012679404,-497.88989942853647,139.816987617194,919.4388486785552,0.0,624.9674373327385,0.0,156.1302651233902,0.0,0.0,497.88989942853647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.4429805377397,0.0,0.0,0.0,-180.03284020993826,-459.7194243392776,616.9378036144558,0.0,0.0,-80.30624215864012,80.30624215864012,0.0,0.0,0.0,0.0,104.19539296811419,0.0,0.0,531.9663178522231,0.0,8.442341043442124,0.0,-171.59049916649613,0.0,0.0,0.0,0.0,-1.1652900866465643e-12,139.816987617194,0.0,0.0,0.0,0.0,104.19539296811419,0.0,0.0,815.243455710441,0.0,180.03284020993826,459.7194243392776,419.68681379890427,0.0,0.0,-6.768400132599277,-531.9663178522231,0.0,-624.9674373327385,-616.9378036144558,94.61232887793415,0.0,0.0,156.1302651233902,513.2161986556225,0.0,-71.19696607774188,0.0,0.0,0.0,104.19539296811419,-104.19539296811419,-29.638989263582303,461.91029246388854,-29.638989263582303,-41.557976814159574,658.0896764206585,0.0,0.0,71.19696607774188,71.19696607774188,0.0,0.0,0.0,0.0,-738.3959185792986,0.0,0.0,0.0,0.0,0.0,738.3959185792986,0.8,True,80,21.115410072562312,92.6756043710459,92.6756043710459,7.324395628954093
fluxes,0.0,0.0,-157.54145423231915,139.494581035448,139.494581035448,-157.54145423231915,0.0,103.95512688133148,0.0,0.0,90.0,831.8127092698744,32.94045245538653,-498.5130186658933,139.494581035448,920.8611231644416,0.0,625.2975261214307,0.0,157.54145423231915,0.0,0.0,498.5130186658933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.3269304873734,0.0,0.0,0.0,-179.61769914873165,-460.4305615822208,617.2864080842816,0.0,0.0,-80.12106250723666,80.12106250723666,0.0,0.0,0.0,0.0,103.95512688133148,0.0,0.0,532.510859645098,0.0,8.422873692842334,0.0,-171.19482545588932,0.0,0.0,0.0,0.0,-4.405364961712621e-13,139.494581035448,0.0,0.0,0.0,0.0,103.95512688133148,0.0,0.0,816.9059962831101,0.0,179.61769914873165,460.4305615822208,420.4902629800649,0.0,0.0,-6.752792753354238,-532.510859645098,0.0,-625.2975261214307,-617.2864080842816,94.39416055615561,0.0,0.0,157.54145423231915,513.8039766956839,0.0,-71.0327916747955,0.0,0.0,0.0,103.95512688133148,-103.95512688133148,-29.570644169200488,460.8451649639716,-29.570644169200488,-41.46214750559503,658.3433880246745,0.0,0.0,71.0327916747955,71.0327916747955,0.0,0.0,0.0,0.0,-738.4644505319111,0.0,0.0,0.0,0.0,0.0,738.4644505319111,0.8,True,90,21.059968047343972,92.69483579140545,92.69483579140545,7.305164208594547
