sample,sample_name,f13c_cyto_glu,f13c_cyto_pro,f13c_cyto,f12c_cyto_inferred,pct12c_cyto_inferred
AF 1,CAfree_bioreactor,0.7771706319999998,0.6304273819999997,0.7771706319999998,0.2228293680000002,22.28293680000002
AF 2,CAfree_bioreactor,0.7593358840000004,0.6198554240000007,0.7593358840000004,0.2406641159999996,24.06641159999996
AF 3,CAfree_bioreactor,0.7699560590000001,0.651921754,0.7699560590000001,0.23004394099999992,23.004394099999992
AF 4,CAfree_bioreactor,0.6920345409999991,0.6799718309999996,0.6920345409999991,0.30796545900000094,30.796545900000094
AF 5,CCMB1_bioreactor,0.5909446659999995,0.49343037099999965,0.5909446659999995,0.4090553340000005,40.90553340000005
AF 6,CCMB1_bioreactor,0.09101786400000034,0.010229099000000907,0.09101786400000034,0.9089821359999997,90.89821359999996
AF 7,CCMB1_bioreactor,0.09220618300000005,-0.00984289200000088,0.09220618300000005,0.907793817,90.77938169999999
AF 8,CCMB1_bioreactor,0.5545077240000014,0.47773966900000087,0.5545077240000014,0.44549227599999863,44.54922759999987
AF 9,CAfree_10pct_incubator,0.29227695700000034,-0.0712053380000004,0.29227695700000034,0.7077230429999997,70.77230429999997
AF 10,CAfree_10pct_incubator,0.1965056900000004,-0.05793585999999973,0.1965056900000004,0.8034943099999996,80.34943099999995
AF 11,CCMB1_lsPrk_10pct_incubator,-0.034860154999999615,-0.0674694950000001,-0.034860154999999615,1.0,100.0
AF 12,CCMB1_lsPrk_10pct_incubator,0.042114474999999985,-0.05170519500000026,0.042114474999999985,0.957885525,95.78855250000001
AF 13,CAfree_amb_incubator,0.768984626,0.6152815609999998,0.768984626,0.23101537400000005,23.101537400000005
AF 14,CAfree_amb_incubator,0.7893917390000009,0.6004379290000008,0.7893917390000009,0.21060826099999908,21.060826099999908
99% 13C std,99% 13C std,0.8721455320000002,0.8673104670000003,0.8721455320000002,0.12785446799999978,12.785446799999978
75% 13C std,75% 13C std,0.8190181509999999,0.5560445659999997,0.8190181509999999,0.18098184900000014,18.098184900000014
50% 13C std,50% 13C std,0.5241220929999999,0.5999540829999996,0.5241220929999999,0.4758779070000001,47.58779070000001
25% 13C std,25% 13C std,0.2855519500000001,0.31084059499999994,0.2855519500000001,0.7144480499999999,71.44480499999999
