,water_blank,25pc 13C biomass,50pc 13C biomass,75pc 13C biomass,100pc 13C biomass,water_blank,AF 1,AF 2,AF 3,AF 4,AF 5,AF 6,AF 7,AF 8,water_blank,AF 9,AF 10,AF 11,AF 12,AF 13,AF 14,AF 15,AF 16,water_blank,AF 1:10 1,AF 1:10 2,AF 1:10 3,AF 1:10 4,AF 1:10 5,AF 1:10 6,AF 1:10 7,AF 1:10 8,water_blank,AF 1:10 9,AF 1:10 10,AF 1:10 11,AF 1:10 12,AF 1:10 13,AF 1:10 14,AF 1:10 15,AF 1:10 16
sample,2019_08_13_TQ_06,2019_08_13_TQ_07,2019_08_13_TQ_08,2019_08_13_TQ_09,2019_08_13_TQ_10,2019_08_13_TQ_11,2019_08_13_TQ_12,2019_08_13_TQ_13,2019_08_13_TQ_14,2019_08_13_TQ_15,2019_08_13_TQ_16,2019_08_13_TQ_17,2019_08_13_TQ_18,2019_08_13_TQ_19,2019_08_13_TQ_20,2019_08_13_TQ_21,2019_08_13_TQ_22,2019_08_13_TQ_23,2019_08_13_TQ_24,2019_08_13_TQ_25,2019_08_13_TQ_26,2019_08_13_TQ_27,2019_08_13_TQ_28,2019_08_13_TQ_29,,,,,,,,,,,,,,,,,
ser,NAN,0.81,0.56,0.30,0.03,NAN,0.19,0.18,0.15,0.17,0.07,0.06,0.07,0.05,NAN,0.05,0.03,0.03,0.04,0.02,0.00,0.02,0.02,NAN,0.19,0.11,0.11,0.12,0.08,0.07,0.09,0.06,NAN,0.04,0.02,0.00,0.03,0.02,0.00,0.01,0.01
his,NAN,0.98,0.90,0.63,0.07,NAN,0.23,0.22,0.18,0.16,0.06,0.08,0.08,0.05,NAN,0.09,0.06,0.07,0.06,0.05,0.06,0.07,0.04,NAN,0.19,0.16,0.16,0.19,0.06,0.05,0.05,0.06,NAN,0.10,0.07,0.07,0.10,0.05,0.04,0.05,0.06
val,NAN,0.95,0.79,0.50,0.06,NAN,0.20,0.17,0.16,0.16,0.09,0.10,0.10,0.09,NAN,0.11,0.09,0.10,0.10,0.06,0.06,0.06,0.06,NAN,0.21,0.17,0.17,0.14,0.10,0.10,0.09,0.10,NAN,0.13,0.09,0.10,0.10,0.07,0.07,0.07,0.06
thr,NAN,0.97,0.89,0.57,0.07,NAN,0.58,0.56,0.70,0.60,0.58,0.65,0.66,0.58,NAN,0.22,0.18,0.14,0.14,0.11,0.11,0.12,0.16,NAN,0.48,0.61,0.56,0.61,0.56,0.66,0.63,0.51,NAN,0.22,0.01,0.10,0.19,0.08,0.10,0.12,0.12
pro,NAN,0.99,0.89,0.63,0.09,NAN,0.43,0.44,0.45,0.46,0.45,0.46,0.44,0.45,NAN,0.25,0.22,0.24,0.23,0.23,0.23,0.22,0.22,NAN,0.45,0.39,0.44,0.43,0.43,0.44,0.46,0.46,NAN,0.25,0.17,0.24,0.19,0.21,0.22,0.22,0.23
leu,NAN,0.99,0.92,0.66,0.08,NAN,0.13,0.10,0.08,0.09,0.13,0.08,0.14,0.13,NAN,0.21,0.15,0.19,0.19,0.17,0.18,0.18,0.18,NAN,0.10,0.12,0.00,0.00,0.14,0.13,0.14,0.11,NAN,0.20,0.11,0.19,0.16,0.17,0.17,0.15,0.17
ile,NAN,0.99,0.93,0.71,0.12,NAN,0.57,0.62,0.60,0.64,0.60,0.60,0.60,0.59,NAN,0.25,0.20,0.23,0.23,0.19,0.18,0.19,0.18,NAN,0.50,0.55,0.59,0.58,0.59,0.60,0.61,0.62,NAN,0.28,0.18,0.15,0.18,0.18,0.16,0.18,0.17
arg,NAN,1.00,0.95,0.76,0.18,NAN,0.95,0.95,0.93,0.95,0.94,0.94,0.94,0.94,NAN,0.38,0.36,0.37,0.36,0.32,0.29,0.31,0.31,NAN,0.95,0.95,0.93,0.95,0.94,0.94,0.94,0.94,NAN,0.36,0.35,0.37,0.37,0.31,0.30,0.30,0.30
glu,NAN,0.98,0.89,0.69,0.12,NAN,0.44,0.46,0.45,0.49,0.44,0.45,0.45,0.45,NAN,0.26,0.21,0.24,0.25,0.22,0.24,0.22,0.22,NAN,0.43,0.44,0.46,0.48,0.45,0.45,0.44,0.45,NAN,0.27,0.22,0.28,0.24,0.23,0.23,0.22,0.23
sample_name,blank,25pc 13C biomass,50pc 13C biomass,75pc 13C biomass,100pc 13C biomass,blank,CCMB1_10pct,CCMB1_10pct,CCMB1_10pct,CCMB1_10pct,CAfree_10pct,CAfree_10pct,CAfree_10pct,CAfree_10pct,blank,CCMB1_amb,CCMB1_amb,CCMB1_amb,CCMB1_amb,CAfree_amb,CAfree_amb,CAfree_amb,CAfree_amb,blank,CCMB1_10pct_10xD,CCMB1_10pct_10xD,CCMB1_10pct_10xD,CCMB1_10pct_10xD,CAfree_10pct_10xD,CAfree_10pct_10xD,CAfree_10pct_10xD,CAfree_10pct_10xD,blank,CCMB1_amb_10xD,CCMB1_amb_10xD,CCMB1_amb_10xD,CCMB1_amb_10xD,CAfree_amb_10xD,CAfree_amb_10xD,CAfree_amb_10xD,CAfree_amb_10xD
