,sample,ser,his,val,thr,pro,leu,ile,arg,glu,sample_name
water_blank,2019_08_13_TQ_06,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,blank
25pc 13C biomass,2019_08_13_TQ_07,0.81,0.98,0.95,0.97,0.99,0.99,0.99,1.00,0.98,25pc 13C biomass
50pc 13C biomass,2019_08_13_TQ_08,0.56,0.90,0.79,0.89,0.89,0.92,0.93,0.95,0.89,50pc 13C biomass
75pc 13C biomass,2019_08_13_TQ_09,0.30,0.63,0.50,0.57,0.63,0.66,0.71,0.76,0.69,75pc 13C biomass
100pc 13C biomass,2019_08_13_TQ_10,0.03,0.07,0.06,0.07,0.09,0.08,0.12,0.18,0.12,100pc 13C biomass
water_blank,2019_08_13_TQ_11,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,blank
AF 1,2019_08_13_TQ_12,0.19,0.23,0.20,0.58,0.43,0.13,0.57,0.95,0.44,CCMB1_10pct
AF 2,2019_08_13_TQ_13,0.18,0.22,0.17,0.56,0.44,0.10,0.62,0.95,0.46,CCMB1_10pct
AF 3,2019_08_13_TQ_14,0.15,0.18,0.16,0.70,0.45,0.08,0.60,0.93,0.45,CCMB1_10pct
AF 4,2019_08_13_TQ_15,0.17,0.16,0.16,0.60,0.46,0.09,0.64,0.95,0.49,CCMB1_10pct
AF 5,2019_08_13_TQ_16,0.07,0.06,0.09,0.58,0.45,0.13,0.60,0.94,0.44,CAfree_10pct
AF 6,2019_08_13_TQ_17,0.06,0.08,0.10,0.65,0.46,0.08,0.60,0.94,0.45,CAfree_10pct
AF 7,2019_08_13_TQ_18,0.07,0.08,0.10,0.66,0.44,0.14,0.60,0.94,0.45,CAfree_10pct
AF 8,2019_08_13_TQ_19,0.05,0.05,0.09,0.58,0.45,0.13,0.59,0.94,0.45,CAfree_10pct
water_blank,2019_08_13_TQ_20,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,blank
AF 9,2019_08_13_TQ_21,0.05,0.09,0.11,0.22,0.25,0.21,0.25,0.38,0.26,CCMB1_amb
AF 10,2019_08_13_TQ_22,0.03,0.06,0.09,0.18,0.22,0.15,0.20,0.36,0.21,CCMB1_amb
AF 11,2019_08_13_TQ_23,0.03,0.07,0.10,0.14,0.24,0.19,0.23,0.37,0.24,CCMB1_amb
AF 12,2019_08_13_TQ_24,0.04,0.06,0.10,0.14,0.23,0.19,0.23,0.36,0.25,CCMB1_amb
AF 13,2019_08_13_TQ_25,0.02,0.05,0.06,0.11,0.23,0.17,0.19,0.32,0.22,CAfree_amb
AF 14,2019_08_13_TQ_26,0.00,0.06,0.06,0.11,0.23,0.18,0.18,0.29,0.24,CAfree_amb
AF 15,2019_08_13_TQ_27,0.02,0.07,0.06,0.12,0.22,0.18,0.19,0.31,0.22,CAfree_amb
AF 16,2019_08_13_TQ_28,0.02,0.04,0.06,0.16,0.22,0.18,0.18,0.31,0.22,CAfree_amb
water_blank,2019_08_13_TQ_29,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,blank
AF 1:10 1,,0.19,0.19,0.21,0.48,0.45,0.10,0.50,0.95,0.43,CCMB1_10pct_10xD
AF 1:10 2,,0.11,0.16,0.17,0.61,0.39,0.12,0.55,0.95,0.44,CCMB1_10pct_10xD
AF 1:10 3,,0.11,0.16,0.17,0.56,0.44,0.00,0.59,0.93,0.46,CCMB1_10pct_10xD
AF 1:10 4,,0.12,0.19,0.14,0.61,0.43,0.00,0.58,0.95,0.48,CCMB1_10pct_10xD
AF 1:10 5,,0.08,0.06,0.10,0.56,0.43,0.14,0.59,0.94,0.45,CAfree_10pct_10xD
AF 1:10 6,,0.07,0.05,0.10,0.66,0.44,0.13,0.60,0.94,0.45,CAfree_10pct_10xD
AF 1:10 7,,0.09,0.05,0.09,0.63,0.46,0.14,0.61,0.94,0.44,CAfree_10pct_10xD
AF 1:10 8,,0.06,0.06,0.10,0.51,0.46,0.11,0.62,0.94,0.45,CAfree_10pct_10xD
water_blank,,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,blank
AF 1:10 9,,0.04,0.10,0.13,0.22,0.25,0.20,0.28,0.36,0.27,CCMB1_amb_10xD
AF 1:10 10,,0.02,0.07,0.09,0.01,0.17,0.11,0.18,0.35,0.22,CCMB1_amb_10xD
AF 1:10 11,,0.00,0.07,0.10,0.10,0.24,0.19,0.15,0.37,0.28,CCMB1_amb_10xD
AF 1:10 12,,0.03,0.10,0.10,0.19,0.19,0.16,0.18,0.37,0.24,CCMB1_amb_10xD
AF 1:10 13,,0.02,0.05,0.07,0.08,0.21,0.17,0.18,0.31,0.23,CAfree_amb_10xD
AF 1:10 14,,0.00,0.04,0.07,0.10,0.22,0.17,0.16,0.30,0.23,CAfree_amb_10xD
AF 1:10 15,,0.01,0.05,0.07,0.12,0.22,0.15,0.18,0.30,0.22,CAfree_amb_10xD
AF 1:10 16,,0.01,0.06,0.06,0.12,0.23,0.17,0.17,0.30,0.23,CAfree_amb_10xD
