,OD,sample,replicate,well
0,0.7275591111111108,Full CCM,rec.1,A1
1,0.660002222222222,Full CCM,rec.2,B1
2,0.6433573333333334,Full CCM,rec.4,C1
3,0.6495817777777774,Full CCM,rec.4,D1
4,-0.008052888888888847,Neg.,K194.3,E1
5,-0.007347999999999998,Neg.,K194.4,F1
6,0.0031493333333333477,Rub. alone,lsPrk.3,G1
7,0.008068000000000006,Rub. alone,lsPrk.4,H1
8,0.7202991111111109,Full CCM,rec.1,A2
9,0.5999986666666666,Full CCM,rec.2,B2
10,0.6062293333333337,Full CCM,rec.4,C2
11,0.6171760000000006,Full CCM,rec.4,D2
12,-0.0014942222222222136,Neg.,K194.3,E2
13,-0.003661777777777799,Neg.,K194.4,F2
14,0.004601333333333333,Rub. alone,lsPrk.3,G2
15,0.006259555555555557,Rub. alone,lsPrk.4,H2
16,0.7044240000000003,Full CCM,rec.1,A3
17,0.5492128888888889,Full CCM,rec.2,B3
18,0.596192888888889,Full CCM,rec.4,C3
19,0.5895986666666668,Full CCM,rec.4,D3
20,-0.00048177777777775303,Neg.,K194.3,E3
21,-0.00876444444444452,Neg.,K194.4,F3
22,0.001287555555555553,Rub. alone,lsPrk.3,G3
23,0.002110666666666679,Rub. alone,lsPrk.4,H3
24,0.7060715555555555,Full CCM,rec.1,A4
25,0.576476,Full CCM,rec.2,B4
26,0.6012426666666671,Full CCM,rec.4,C4
27,0.5921595555555556,Full CCM,rec.4,D4
28,0.0051977777777778055,Neg.,K194.3,E4
29,-0.006252000000000011,Neg.,K194.4,F4
30,0.0002804444444444437,Rub. alone,lsPrk.3,G4
31,0.005889333333333337,Rub. alone,lsPrk.4,H4
32,0.6964382222222225,Full CCM,rec.1,A5
33,0.5318906666666665,Full CCM,rec.2,B5
34,0.5902306666666665,Full CCM,rec.4,C5
35,0.553994666666667,Full CCM,rec.4,D5
36,-0.008702666666666721,Neg.,K194.3,E5
37,0.005473333333333354,Neg.,K194.4,F5
38,-0.0001928888888888874,Rub. alone,lsPrk.3,G5
39,0.0037662222222222125,Rub. alone,lsPrk.4,H5
40,0.6916128888888883,Full CCM,rec.1,A6
41,0.5427537777777777,Full CCM,rec.2,B6
42,0.5856959999999999,Full CCM,rec.4,C6
43,0.5692417777777777,Full CCM,rec.4,D6
44,-0.001656000000000021,Neg.,K194.3,E6
45,-0.012752888888888946,Neg.,K194.4,F6
46,0.0005448888888888912,Rub. alone,lsPrk.3,G6
47,0.0036617777777777694,Rub. alone,lsPrk.4,H6
48,0.6896840000000005,Full CCM,rec.1,A7
49,0.5270026666666668,Full CCM,rec.2,B7
50,0.5582924444444443,Full CCM,rec.4,C7
51,0.5351582222222223,Full CCM,rec.4,D7
52,0.004934222222222167,Neg.,K194.3,E7
53,-0.015181777777777773,Neg.,K194.4,F7
54,0.005793777777777776,Rub. alone,lsPrk.3,G7
55,0.00778488888888889,Rub. alone,lsPrk.4,H7
56,0.6264573333333338,Full CCM,rec.1,A8
57,0.4205844444444446,Full CCM,rec.2,B8
58,0.5530817777777779,Full CCM,rec.4,C8
59,0.5563177777777776,Full CCM,rec.4,D8
60,0.000843555555555616,Neg.,K194.3,E8
61,0.00012177777777777075,Neg.,K194.4,F8
62,0.010032000000000001,Rub. alone,lsPrk.3,G8
63,0.004489333333333335,Rub. alone,lsPrk.4,H8
64,0.6856208888888888,Full CCM,rec.1,A9
65,0.526662222222222,Full CCM,rec.2,B9
66,0.5178986666666668,Full CCM,rec.4,C9
67,0.5370479999999999,Full CCM,rec.4,D9
68,0.003143111111111102,Neg.,K194.3,E9
69,-0.0111782222222222,Neg.,K194.4,F9
70,0.006077333333333328,Rub. alone,lsPrk.3,G9
71,0.004566222222222217,Rub. alone,lsPrk.4,H9
72,0.6816764444444444,Full CCM,rec.1,A10
73,0.49082755555555563,Full CCM,rec.2,B10
74,0.5474115555555553,Full CCM,rec.4,C10
75,0.4876662222222224,Full CCM,rec.4,D10
76,-0.000669333333333389,Neg.,K194.3,E10
77,-0.004140000000000016,Neg.,K194.4,F10
78,0.013797333333333326,Rub. alone,lsPrk.3,G10
79,0.003816444444444457,Rub. alone,lsPrk.4,H10
80,0.6746008888888887,Full CCM,rec.1,A11
81,0.4546653333333332,Full CCM,rec.2,B11
82,0.5077084444444447,Full CCM,rec.4,C11
83,0.5254631111111113,Full CCM,rec.4,D11
84,-0.0006231111111111174,Neg.,K194.3,E11
85,-0.005675111111111081,Neg.,K194.4,F11
86,0.008260444444444442,Rub. alone,lsPrk.3,G11
87,0.0078048888888888985,Rub. alone,lsPrk.4,H11
88,0.7842151111111112,Full CCM,rec.1,A12
89,0.6517946666666665,Full CCM,rec.2,B12
90,0.5896391111111113,Full CCM,rec.4,C12
91,0.5877177777777777,Full CCM,rec.4,D12
92,-0.011124444444444437,Neg.,K194.3,E12
93,-0.006874666666666634,Neg.,K194.4,F12
94,0.012579111111111103,Rub. alone,lsPrk.3,G12
95,0.003952000000000011,Rub. alone,lsPrk.4,H12
