sample,ser,his,val,thr,pro,leu,ile,arg,glu,sample_name
AF 1,1,0.988600959,0.992503273,0.963556885,0.950919678,0.967872181,0.967592985,0.912415812,0.946508043,CAfree_bioreactor
AF 2,1,0.993873241,0.991809018,0.967924177,0.95000267,0.967251831,0.967100262,0.899249287,0.945832292,CAfree_bioreactor
AF 3,1,0.986049955,0.99444002,0.981710876,0.948856611,0.969251839,0.964938199,0.904906552,0.942359832,CAfree_bioreactor
AF 4,1,0.992399638,0.991957909,0.876944563,0.94152418,0.967545139,0.965159199,0.896100468,0.946537005,CAfree_bioreactor
AF 5,0.982782454,0.967745932,0.985492292,0.955979121,0.962759109,0.988271901,0.955895354,0.884437524,0.968410628,CCMB1_bioreactor
AF 6,0.977889267,0.921441926,0.969221459,0.913594383,0.934595554,0.971593846,0.92690269,0.781348105,0.926683126,CCMB1_bioreactor
AF 7,1,0.947205715,0.968566703,0.920928404,0.932720903,0.977717323,0.920683018,0.776449293,0.929805829,CCMB1_bioreactor
AF 8,1,0.9848147,0.987102689,0.856109501,0.975038967,0.990364606,0.962875796,0.883240561,0.967783129,CCMB1_bioreactor
water_blank,0.666666667,NAN,0.584881718,NAN,0.911402406,1,0.929888129,0.901987182,NAN,blank
AF 9,0.954815514,0.995119033,0.982225944,0.817501074,0.900484093,0.971251313,0.892916832,0.731390232,0.886518317,CAfree_10pct_incubator
AF 10,1,0.990108766,0.981866311,0.863331744,0.895385515,0.972729968,0.894405746,0.740384376,0.879757646,CAfree_10pct_incubator
AF 11,0.966778633,0.95746216,0.967094024,0.834127934,0.918986773,0.989344756,0.893807046,0.771820075,0.91261626,CCMB1_lsPrk_10pct_incubator
AF 12,0.968275225,0.965685243,0.967722002,0.69481925,0.914967103,0.987400405,0.888921617,0.770671411,0.909962674,CCMB1_lsPrk_10pct_incubator
AF 13,1,0.997428629,0.989540889,0.940416216,0.936716632,0.956684945,0.959274578,0.882460697,0.922883676,CAfree_amb_incubator
AF 14,1,0.987322718,0.988092424,0.914699838,0.946132597,0.9591426,0.962196349,0.89691621,0.933840649,CAfree_amb_incubator
water_blank,NAN,0.810425797,0.8,NAN,1,1,1,0.924259867,1,blank
his_glu_thr_val_gly_std_1ug,0.333333333,0.010254909,0.011596768,0.017205969,NAN,NAN,NAN,0,0.010212365,his_glu_thr_val_gly_std_1ug
lys_asn_ile_trp_pro_std_1ug,NAN,NAN,NAN,NAN,0.01136382,0.333333333,0.012516155,0,NAN,lys_asn_ile_trp_pro_std_1ug
arg_asp_ser_ala_tyr_std_1ug,0,NAN,NAN,0.25,0,NAN,NAN,0.016829457,NAN,arg_asp_ser_ala_tyr_std_1ug
leu_gln_met_cys_phe_std_1ug,NAN,NAN,NAN,NAN,NAN,0.010059246,0,NAN,NAN,leu_gln_met_cys_phe_std_1ug
25pc 13C biomass,0.275310037,0.212552098,0.277068368,0.194375569,0.255442394,0.233304456,0.233873829,0.23432844,0.250202261,25pc 13C biomass
50pc 13C biomass,0.549443422,0.432415076,0.5313702,0.430527779,0.498210908,0.474513781,0.461922295,0.466939698,0.447813885,50pc 13C biomass
75pc 13C biomass,0.712585055,0.458734198,0.511876885,0.55101441,0.489368799,0.47323603,0.471580199,0.465481826,0.449167073,75pc 13C biomass
100pc 13C biomass,0.918397021,0.704867798,0.772252429,0.832275331,0.739313197,0.717673616,0.716226491,0.70001049,0.691649849,100pc 13C biomass
