sample,short_name,strain,pFE_plasmid,pFA_plasmid,condition,OD600,pH
AF-20-p1,CCMB1:pCB'+pCCM',CCMB1,pCB',pCCM',10% CO2,2.915,6.38
AF-20-p2,CCMB1:pCB'+pCCM',CCMB1,pCB',pCCM',10% CO2,2.2,6.37
AF-20-p3,CCMB1:pCB'+pCCM',CCMB1,pCB',pCCM',10% CO2,2.075,6.63
AF-20-p4,CCMB1:pCB'+pCCM',CCMB1,pCB',pCCM',10% CO2,2.945,6.59
AF-20-p5,CCMB1:pCB'+pCCM',CCMB1,pCB',pCCM',10% CO2,2.965,6.4
AF-20-p6,CCMB1:pCB'+pCCM',CCMB1,pCB',pCCM',10% CO2,2.94,6.43
AF-20-p7,CCMB1:pCB'+pCCM',CCMB1,pCB',pCCM',10% CO2,2.805,6.42
AF-20-p8,CCMB1:pCB'+pCCM',CCMB1,pCB',pCCM',10% CO2,3.01,6.44
AF-20-p9,CCMB1:p1A+pFA-sfGFP,CCMB1,p1A,pFA-sfGFP,10% CO2,2.57,6.33
AF-20-p10,CCMB1:p1A+pFA-sfGFP,CCMB1,p1A,pFA-sfGFP,10% CO2,2.435,6.33
AF-20-p11,CAfree:pFE-sfGFP+pFA-HCAII,CAfree,pFE-sfGFP,pFA-HCAII,10% CO2,2.13,6.27
AF-20-p12,CAfree:pFE-sfGFP+pFA-HCAII,CAfree,pFE-sfGFP,pFA-HCAII,10% CO2,2.35,6.28
AF-20-p13,CCMB1:p1A+pFA-sfGFP,CCMB1,p1A,pFA-sfGFP,10% CO2,3.075,6.34
AF-20-p14,CCMB1:p1A+pFA-sfGFP,CCMB1,p1A,pFA-sfGFP,10% CO2,2.715,6.32
AF-20-p15,CAfree:pFE-sfGFP+pFA-HCAII,CAfree,pFE-sfGFP,pFA-HCAII,10% CO2,2.38,6.31
AF-20-p16,CAfree:pFE-sfGFP+pFA-HCAII,CAfree,pFE-sfGFP,pFA-HCAII,10% CO2,2.29,6.28
AF-20-p1,CCMB1:pCB'+pCCM',CCMB1,pCB',pCCM',ambient,3.24,6.49
AF-20-p2,CCMB1:pCB'+pCCM',CCMB1,pCB',pCCM',ambient,3.595,6.57
AF-20-p3,CCMB1:pCB'+pCCM',CCMB1,pCB',pCCM',ambient,0.59,6.95
AF-20-p4,CCMB1:pCB'+pCCM',CCMB1,pCB',pCCM',ambient,2.97,6.49
AF-20-p5,CCMB1:pCB'+pCCM',CCMB1,pCB',pCCM',ambient,3.415,6.58
AF-20-p6,CCMB1:pCB'+pCCM',CCMB1,pCB',pCCM',ambient,3.375,6.59
AF-20-p7,CCMB1:pCB'+pCCM',CCMB1,pCB',pCCM',ambient,3.155,6.59
AF-20-p8,CCMB1:pCB'+pCCM',CCMB1,pCB',pCCM',ambient,3.085,6.57
AF-20-p9,CCMB1:p1A+pFA-sfGFP,CCMB1,p1A,pFA-sfGFP,ambient,0.025,7.04
AF-20-p10,CCMB1:p1A+pFA-sfGFP,CCMB1,p1A,pFA-sfGFP,ambient,0.085,7
AF-20-p11,CAfree:pFE-sfGFP+pFA-HCAII,CAfree,pFE-sfGFP,pFA-HCAII,ambient,2.21,6.27
AF-20-p12,CAfree:pFE-sfGFP+pFA-HCAII,CAfree,pFE-sfGFP,pFA-HCAII,ambient,2.395,6.24
AF-20-p13,CCMB1:p1A+pFA-sfGFP,CCMB1,p1A,pFA-sfGFP,ambient,0.02,7.01
AF-20-p14,CCMB1:p1A+pFA-sfGFP,CCMB1,p1A,pFA-sfGFP,ambient,0.035,7
AF-20-p15,CAfree:pFE-sfGFP+pFA-HCAII,CAfree,pFE-sfGFP,pFA-HCAII,ambient,2.595,6.27
AF-20-p16,CAfree:pFE-sfGFP+pFA-HCAII,CAfree,pFE-sfGFP,pFA-HCAII,ambient,2.46,6.24
