,water_blank,25pc 13C biomass,50pc 13C biomass,75pc 13C biomass,100pc 13C biomass,water_blank,AF 1,AF 2,AF 3,AF 4,AF 5,AF 6,AF 7,AF 8,water_blank,AF 9,AF 10,AF 11,AF 12,AF 13,AF 14,AF 15,AF 16,water_blank,AF 1:10 1,AF 1:10 2,AF 1:10 3,AF 1:10 4,AF 1:10 5,AF 1:10 6,AF 1:10 7,AF 1:10 8,water_blank,AF 1:10 9,AF 1:10 10,AF 1:10 11,AF 1:10 12,AF 1:10 13,AF 1:10 14,AF 1:10 15,AF 1:10 16
sample,2019_08_13_TQ_06,2019_08_13_TQ_07,2019_08_13_TQ_08,2019_08_13_TQ_09,2019_08_13_TQ_10,2019_08_13_TQ_11,2019_08_13_TQ_12,2019_08_13_TQ_13,2019_08_13_TQ_14,2019_08_13_TQ_15,2019_08_13_TQ_16,2019_08_13_TQ_17,2019_08_13_TQ_18,2019_08_13_TQ_19,2019_08_13_TQ_20,2019_08_13_TQ_21,2019_08_13_TQ_22,2019_08_13_TQ_23,2019_08_13_TQ_24,2019_08_13_TQ_25,2019_08_13_TQ_26,2019_08_13_TQ_27,2019_08_13_TQ_28,2019_08_13_TQ_29,,,,,,,,,,,,,,,,,
ser,NAN,0.289114579,0.53936955,0.801800252,0.989393588,NAN,0.936702983,0.938939144,0.951761879,0.944655293,0.975464389,0.978802096,0.977673802,0.982653689,NAN,0.983083034,0.991527164,0.989730412,0.986554405,0.994598027,1,0.992145365,0.992037929,NAN,0.935932588,0.964003587,0.962856627,0.960210089,0.974986935,0.97751732,0.971037434,0.981625781,NAN,0.986692599,0.992170978,1,0.98925821,0.992553786,1,0.997940708,0.995749976
his,NAN,0.216118072,0.437965351,0.708692814,0.9793787,NAN,0.955902851,0.961278889,0.966706062,0.970447861,0.988519825,0.986044998,0.985265955,0.991656745,NAN,0.984333635,0.989888005,0.987928812,0.990676361,0.991005464,0.988177841,0.987906384,0.993645813,NAN,0.963461961,0.972867986,0.968459686,0.95385852,0.989818318,0.990825295,0.99178565,0.974650566,NAN,0.984131924,0.987934849,0.987784169,0.984054893,0.991131862,0.993434061,0.991759771,0.990245079
val,NAN,0.273168651,0.502836832,0.749007502,0.988786311,NAN,0.959426773,0.965149819,0.96755499,0.96858856,0.981580265,0.981029124,0.981054112,0.982031123,NAN,0.978222269,0.982273476,0.97933578,0.979102446,0.987345212,0.987236979,0.988951905,0.987798738,NAN,0.957989241,0.965931198,0.965583912,0.971435568,0.980872723,0.980192367,0.981228878,0.980633504,NAN,0.974842068,0.981311839,0.979671796,0.979637789,0.985857325,0.986757421,0.986465969,0.988381506
thr,NAN,0.241947784,0.450741322,0.764131623,0.981484529,NAN,0.830170836,0.845899347,0.736355232,0.838980886,0.84096808,0.693405372,0.738112249,0.846556385,NAN,0.928507258,0.943870358,0.96401828,0.933428536,0.961020533,0.97291433,0.959656099,0.951218438,NAN,0.88032659,0.828263974,0.859887531,0.835176732,0.836801934,0.818158026,0.825703152,0.862121077,NAN,0.931630982,0.994070169,0.969460881,0.93272021,0.979165812,0.975609832,0.961189293,0.960012676
pro,NAN,0.243493901,0.49832906,0.726556428,0.982216798,NAN,0.89531782,0.896684224,0.894106607,0.895471415,0.887434155,0.885053563,0.890241545,0.889062364,NAN,0.927642628,0.938910692,0.927951437,0.93157403,0.927966317,0.930642457,0.9301091,0.930648799,NAN,0.898981964,0.912443449,0.887500453,0.898150931,0.891836016,0.888092031,0.885568904,0.884864747,NAN,0.92533277,0.951716097,0.926741197,0.945647723,0.938265809,0.93189704,0.929066194,0.928691747
leu,NAN,0.216967559,0.460174101,0.710072749,0.984689191,NAN,0.970551304,0.978049507,0.978964111,0.978823205,0.967102583,0.973620337,0.96536255,0.96789126,NAN,0.952536435,0.965560048,0.9555515,0.957390847,0.95627016,0.953621263,0.953145216,0.953861812,NAN,0.982610868,0.972447857,1,1,0.96502773,0.968922686,0.965415182,0.972521121,NAN,0.955554617,0.982424221,0.954764471,0.964725164,0.956035658,0.958109062,0.961359216,0.957620256
ile,NAN,0.208182535,0.469578094,0.720181065,0.980803969,NAN,0.88027833,0.876617658,0.883008389,0.879084047,0.888000002,0.880687326,0.886652423,0.887110551,NAN,0.947446728,0.958772881,0.950521512,0.951888061,0.959348891,0.961370435,0.959251546,0.960003697,NAN,0.915941658,0.907897309,0.902265538,0.902733832,0.891989635,0.886647571,0.881787979,0.886047481,NAN,0.941431379,0.969619725,0.975821535,0.970102141,0.96139044,0.964249163,0.961872961,0.963292754
arg,NAN,0.243946229,0.480964784,0.713718798,0.963132234,NAN,0.740981733,0.741412939,0.739708845,0.720180894,0.746694123,0.74436549,0.742116939,0.74276185,NAN,0.896573558,0.894786003,0.890153512,0.893127737,0.909208794,0.91353722,0.914123931,0.914784228,NAN,0.741398285,0.747777666,0.739058132,0.721101233,0.747038641,0.748155353,0.743802253,0.744636912,NAN,0.899819891,0.895870313,0.889044492,0.89104765,0.911533823,0.911879197,0.915037558,0.915335934
glu,NAN,0.246871593,0.476502612,0.697645141,0.968790585,NAN,0.89119528,0.889114414,0.892008334,0.882235925,0.887959782,0.887486098,0.887835333,0.886736082,NAN,0.919605726,0.941549382,0.928259631,0.92377621,0.929951144,0.920105331,0.929144823,0.93044845,NAN,0.886143906,0.893257896,0.883688226,0.88534298,0.879999081,0.887971807,0.885684695,0.885085339,NAN,0.920004468,0.940075494,0.910551697,0.92677293,0.927841037,0.921457372,0.932287915,0.926077484
