,sample,ser,his,val,thr,pro,leu,ile,arg,glu,sample_name
water_blank,2019_08_13_TQ_06,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,blank
25pc 13C biomass,2019_08_13_TQ_07,0.289114579,0.216118072,0.273168651,0.241947784,0.243493901,0.216967559,0.208182535,0.243946229,0.246871593,25pc 13C biomass
50pc 13C biomass,2019_08_13_TQ_08,0.53936955,0.437965351,0.502836832,0.450741322,0.49832906,0.460174101,0.469578094,0.480964784,0.476502612,50pc 13C biomass
75pc 13C biomass,2019_08_13_TQ_09,0.801800252,0.708692814,0.749007502,0.764131623,0.726556428,0.710072749,0.720181065,0.713718798,0.697645141,75pc 13C biomass
100pc 13C biomass,2019_08_13_TQ_10,0.989393588,0.9793787,0.988786311,0.981484529,0.982216798,0.984689191,0.980803969,0.963132234,0.968790585,100pc 13C biomass
water_blank,2019_08_13_TQ_11,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,blank
AF 1,2019_08_13_TQ_12,0.936702983,0.955902851,0.959426773,0.830170836,0.89531782,0.970551304,0.88027833,0.740981733,0.89119528,CCMB1_10pct
AF 2,2019_08_13_TQ_13,0.938939144,0.961278889,0.965149819,0.845899347,0.896684224,0.978049507,0.876617658,0.741412939,0.889114414,CCMB1_10pct
AF 3,2019_08_13_TQ_14,0.951761879,0.966706062,0.96755499,0.736355232,0.894106607,0.978964111,0.883008389,0.739708845,0.892008334,CCMB1_10pct
AF 4,2019_08_13_TQ_15,0.944655293,0.970447861,0.96858856,0.838980886,0.895471415,0.978823205,0.879084047,0.720180894,0.882235925,CCMB1_10pct
AF 5,2019_08_13_TQ_16,0.975464389,0.988519825,0.981580265,0.84096808,0.887434155,0.967102583,0.888000002,0.746694123,0.887959782,CAfree_10pct
AF 6,2019_08_13_TQ_17,0.978802096,0.986044998,0.981029124,0.693405372,0.885053563,0.973620337,0.880687326,0.74436549,0.887486098,CAfree_10pct
AF 7,2019_08_13_TQ_18,0.977673802,0.985265955,0.981054112,0.738112249,0.890241545,0.96536255,0.886652423,0.742116939,0.887835333,CAfree_10pct
AF 8,2019_08_13_TQ_19,0.982653689,0.991656745,0.982031123,0.846556385,0.889062364,0.96789126,0.887110551,0.74276185,0.886736082,CAfree_10pct
water_blank,2019_08_13_TQ_20,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,blank
AF 9,2019_08_13_TQ_21,0.983083034,0.984333635,0.978222269,0.928507258,0.927642628,0.952536435,0.947446728,0.896573558,0.919605726,CCMB1_amb
AF 10,2019_08_13_TQ_22,0.991527164,0.989888005,0.982273476,0.943870358,0.938910692,0.965560048,0.958772881,0.894786003,0.941549382,CCMB1_amb
AF 11,2019_08_13_TQ_23,0.989730412,0.987928812,0.97933578,0.96401828,0.927951437,0.9555515,0.950521512,0.890153512,0.928259631,CCMB1_amb
AF 12,2019_08_13_TQ_24,0.986554405,0.990676361,0.979102446,0.933428536,0.93157403,0.957390847,0.951888061,0.893127737,0.92377621,CCMB1_amb
AF 13,2019_08_13_TQ_25,0.994598027,0.991005464,0.987345212,0.961020533,0.927966317,0.95627016,0.959348891,0.909208794,0.929951144,CAfree_amb
AF 14,2019_08_13_TQ_26,1,0.988177841,0.987236979,0.97291433,0.930642457,0.953621263,0.961370435,0.91353722,0.920105331,CAfree_amb
AF 15,2019_08_13_TQ_27,0.992145365,0.987906384,0.988951905,0.959656099,0.9301091,0.953145216,0.959251546,0.914123931,0.929144823,CAfree_amb
AF 16,2019_08_13_TQ_28,0.992037929,0.993645813,0.987798738,0.951218438,0.930648799,0.953861812,0.960003697,0.914784228,0.93044845,CAfree_amb
water_blank,2019_08_13_TQ_29,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,blank
AF 1:10 1,,0.935932588,0.963461961,0.957989241,0.88032659,0.898981964,0.982610868,0.915941658,0.741398285,0.886143906,CCMB1_10pct_10xD
AF 1:10 2,,0.964003587,0.972867986,0.965931198,0.828263974,0.912443449,0.972447857,0.907897309,0.747777666,0.893257896,CCMB1_10pct_10xD
AF 1:10 3,,0.962856627,0.968459686,0.965583912,0.859887531,0.887500453,1,0.902265538,0.739058132,0.883688226,CCMB1_10pct_10xD
AF 1:10 4,,0.960210089,0.95385852,0.971435568,0.835176732,0.898150931,1,0.902733832,0.721101233,0.88534298,CCMB1_10pct_10xD
AF 1:10 5,,0.974986935,0.989818318,0.980872723,0.836801934,0.891836016,0.96502773,0.891989635,0.747038641,0.879999081,CAfree_10pct_10xD
AF 1:10 6,,0.97751732,0.990825295,0.980192367,0.818158026,0.888092031,0.968922686,0.886647571,0.748155353,0.887971807,CAfree_10pct_10xD
AF 1:10 7,,0.971037434,0.99178565,0.981228878,0.825703152,0.885568904,0.965415182,0.881787979,0.743802253,0.885684695,CAfree_10pct_10xD
AF 1:10 8,,0.981625781,0.974650566,0.980633504,0.862121077,0.884864747,0.972521121,0.886047481,0.744636912,0.885085339,CAfree_10pct_10xD
water_blank,,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,blank
AF 1:10 9,,0.986692599,0.984131924,0.974842068,0.931630982,0.92533277,0.955554617,0.941431379,0.899819891,0.920004468,CCMB1_amb_10xD
AF 1:10 10,,0.992170978,0.987934849,0.981311839,0.994070169,0.951716097,0.982424221,0.969619725,0.895870313,0.940075494,CCMB1_amb_10xD
AF 1:10 11,,1,0.987784169,0.979671796,0.969460881,0.926741197,0.954764471,0.975821535,0.889044492,0.910551697,CCMB1_amb_10xD
AF 1:10 12,,0.98925821,0.984054893,0.979637789,0.93272021,0.945647723,0.964725164,0.970102141,0.89104765,0.92677293,CCMB1_amb_10xD
AF 1:10 13,,0.992553786,0.991131862,0.985857325,0.979165812,0.938265809,0.956035658,0.96139044,0.911533823,0.927841037,CAfree_amb_10xD
AF 1:10 14,,1,0.993434061,0.986757421,0.975609832,0.93189704,0.958109062,0.964249163,0.911879197,0.921457372,CAfree_amb_10xD
AF 1:10 15,,0.997940708,0.991759771,0.986465969,0.961189293,0.929066194,0.961359216,0.961872961,0.915037558,0.932287915,CAfree_amb_10xD
AF 1:10 16,,0.995749976,0.990245079,0.988381506,0.960012676,0.928691747,0.957620256,0.963292754,0.915335934,0.926077484,CAfree_amb_10xD
