cycle_n,time_s,CO2 %,O2 %,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,CCMB1:p1A.1,CCMB1:p1A.2,CCMB1:p1A.3,CCMB1:p1A.4,CCMB1:pFE-Rrub-FII-prk.1,CCMB1:pFE-Rrub-FII-prk.2,CCMB1:pFE-Rrub-FII-prk.3,CCMB1:pFE-Rrub-FII-prk.4,CCMB1:pFE-Reu-FI-prk.1,CCMB1:pFE-Reu-FI-prk.2,CCMB1:pFE-Reu-FI-prk.3,CCMB1:pFE-Reu-FI-prk.4,CCMB1:p1A.1,CCMB1:p1A.2,CCMB1:p1A.3,CCMB1:p1A.4,CCMB1:pFE-Rrub-FII-prk.1,CCMB1:pFE-Rrub-FII-prk.2,CCMB1:pFE-Rrub-FII-prk.3,CCMB1:pFE-Rrub-FII-prk.4,CCMB1:pFE-Reu-FI-prk.1,CCMB1:pFE-Reu-FI-prk.2,CCMB1:pFE-Reu-FI-prk.3,CCMB1:pFE-Reu-FI-prk.4,CCMB1:p1A.1,CCMB1:p1A.2,CCMB1:p1A.3,CCMB1:p1A.4,CCMB1:pFE-Rrub-FII-prk.1,CCMB1:pFE-Rrub-FII-prk.2,CCMB1:pFE-Rrub-FII-prk.3,CCMB1:pFE-Rrub-FII-prk.4,CCMB1:pFE-Reu-FI-prk.1,CCMB1:pFE-Reu-FI-prk.2,CCMB1:pFE-Reu-FI-prk.3,CCMB1:pFE-Reu-FI-prk.4,CCMB1:p1A K194M.1,CCMB1:p1A K194M.2,CCMB1:p1A K194M.3,CCMB1:p1A K194M.4,CCMB1:pFE-Rs-FI-prk.1,CCMB1:pFE-Rs-FI-prk.2,CCMB1:pFE-Rs-FI-prk.3,CCMB1:pFE-Rs-FI-prk.4,CCMB1:pFE-Selo-FI-prk.1,CCMB1:pFE-Selo-FI-prk.2,CCMB1:pFE-Selo-FI-prk.3,CCMB1:pFE-Selo-FI-prk.4,CCMB1:p1A K194M.2,CCMB1:p1A K194M.3,CCMB1:p1A K194M.4,CCMB1:p1A K194M.5,CCMB1:pFE-Rs-FI-prk.2,CCMB1:pFE-Rs-FI-prk.3,CCMB1:pFE-Rs-FI-prk.4,CCMB1:pFE-Rs-FI-prk.5,CCMB1:pFE-Selo-FI-prk.2,CCMB1:pFE-Selo-FI-prk.3,CCMB1:pFE-Selo-FI-prk.4,CCMB1:pFE-Selo-FI-prk.5,CCMB1:p1A K194M.3,CCMB1:p1A K194M.4,CCMB1:p1A K194M.5,CCMB1:p1A K194M.6,CCMB1:pFE-Rs-FI-prk.3,CCMB1:pFE-Rs-FI-prk.4,CCMB1:pFE-Rs-FI-prk.5,CCMB1:pFE-Rs-FI-prk.6,CCMB1:pFE-Selo-FI-prk.3,CCMB1:pFE-Selo-FI-prk.4,CCMB1:pFE-Selo-FI-prk.5,CCMB1:pFE-Selo-FI-prk.6,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
1,0.0,2.3,20.3,0.0394,0.0391,0.0406,0.0394,0.0417,0.039,0.04,0.04,0.0407,0.0392,0.0393,0.0392,0.0426,0.0432,0.04,0.0445,0.0438,0.0433,0.0445,0.0411,0.0409,0.0408,0.0404,0.0416,0.0438,0.0422,0.0428,0.0423,0.0453,0.0424,0.0419,0.0408,0.04,0.042,0.0452,0.0435,0.043,0.0413,0.0416,0.0424,0.0445,0.0427,0.042,0.0409,0.0426,0.0424,0.0409,0.0401,0.0417,0.0418,0.0407,0.0402,0.0406,0.0415,0.0403,0.0408,0.041,0.0403,0.0415,0.0405,0.0482,0.0431,0.0409,0.043,0.0414,0.0415,0.0396,0.0414,0.0415,0.04,0.0424,0.0409,0.0441,0.0394,0.0413,0.041,0.0398,0.0402,0.0445,0.0437,0.0409,0.0409,0.0443,0.0408,0.04,0.0393,0.0394,0.0398,0.0397,0.0392,0.0391,0.0405,0.0393,0.0403,0.0396,0.0391
2,1832.173,4.9,19.6,0.0393,0.0391,0.0406,0.0393,0.0413,0.0389,0.04,0.0399,0.0408,0.0393,0.0393,0.0396,0.0435,0.045,0.0432,0.0431,0.0427,0.043,0.0441,0.0438,0.0429,0.0447,0.0436,0.0431,0.0434,0.0441,0.0434,0.0457,0.0461,0.0442,0.0429,0.0427,0.0445,0.0459,0.0451,0.0446,0.0436,0.0449,0.044,0.0445,0.0439,0.0432,0.0454,0.0449,0.0444,0.0448,0.045,0.0449,0.0432,0.0437,0.0438,0.0437,0.0436,0.0446,0.0419,0.0435,0.0436,0.0432,0.0448,0.0425,0.0431,0.0435,0.0441,0.0444,0.0436,0.0441,0.0435,0.044,0.0456,0.0444,0.0451,0.0426,0.0433,0.0425,0.0438,0.0433,0.043,0.043,0.044,0.044,0.0445,0.0437,0.0454,0.0424,0.0399,0.0393,0.0393,0.0396,0.0397,0.0393,0.0391,0.0406,0.0393,0.0403,0.0395,0.0389
3,3664.979,5.0,19.6,0.0393,0.0391,0.0406,0.0394,0.0414,0.0388,0.0399,0.0399,0.0406,0.0392,0.0392,0.0391,0.0434,0.0447,0.0429,0.0431,0.0426,0.0429,0.0441,0.0436,0.0431,0.0446,0.0439,0.0432,0.0434,0.0438,0.0433,0.0455,0.0459,0.0441,0.043,0.0426,0.0445,0.045,0.0446,0.0437,0.0433,0.0447,0.0438,0.0443,0.0439,0.0431,0.0453,0.0447,0.0443,0.0449,0.0454,0.0452,0.0431,0.0436,0.0437,0.0433,0.0438,0.0447,0.042,0.0436,0.0436,0.0432,0.0452,0.0428,0.0431,0.0434,0.044,0.0443,0.0436,0.0443,0.0436,0.0442,0.0459,0.0445,0.0452,0.0432,0.0433,0.0425,0.0436,0.0433,0.0433,0.0434,0.0443,0.0442,0.0446,0.0439,0.0458,0.0425,0.0398,0.0392,0.0392,0.0396,0.0397,0.0392,0.0391,0.0405,0.0393,0.0402,0.0395,0.039
4,5497.807,5.0,19.6,0.0392,0.0391,0.0405,0.0393,0.0413,0.0388,0.0399,0.0399,0.0407,0.0392,0.0391,0.039,0.0432,0.0446,0.0429,0.0429,0.0426,0.043,0.0439,0.0437,0.0431,0.0448,0.044,0.0435,0.0432,0.0437,0.0433,0.0455,0.0458,0.0442,0.043,0.0425,0.0448,0.0451,0.0433,0.044,0.0432,0.0447,0.0437,0.0442,0.0438,0.043,0.0453,0.0447,0.0444,0.0448,0.0454,0.0452,0.043,0.0434,0.0436,0.0434,0.0441,0.045,0.0422,0.0438,0.0437,0.0433,0.0458,0.0431,0.043,0.0433,0.0438,0.0442,0.044,0.0447,0.044,0.0444,0.046,0.0449,0.0457,0.0434,0.043,0.0424,0.0434,0.0432,0.0434,0.0436,0.0446,0.0444,0.0445,0.0437,0.0454,0.0427,0.0398,0.0391,0.0392,0.0396,0.0397,0.0391,0.039,0.0405,0.0392,0.0402,0.0394,0.0389
5,7330.635,4.9,19.6,0.0393,0.0392,0.0406,0.0393,0.0414,0.0389,0.0399,0.04,0.0407,0.0392,0.0392,0.039,0.0433,0.0447,0.0431,0.043,0.0427,0.0431,0.044,0.0438,0.0433,0.0448,0.0443,0.0443,0.0433,0.0439,0.0433,0.0456,0.046,0.0444,0.0429,0.0426,0.0464,0.0453,0.0434,0.0437,0.0433,0.0447,0.0438,0.0443,0.0439,0.0432,0.0456,0.045,0.0446,0.045,0.0457,0.0456,0.0429,0.0436,0.0436,0.0434,0.0445,0.0456,0.0425,0.0442,0.0439,0.0436,0.0454,0.0433,0.0431,0.0433,0.0439,0.0442,0.0444,0.0451,0.0445,0.0448,0.046,0.0448,0.0454,0.0437,0.0431,0.0423,0.0435,0.043,0.0438,0.044,0.0449,0.0447,0.0448,0.0439,0.0458,0.0433,0.0399,0.0392,0.0392,0.0396,0.0397,0.0391,0.0391,0.0405,0.0393,0.0402,0.0394,0.0388
6,9163.394,5.0,19.6,0.0393,0.0391,0.0405,0.0394,0.0413,0.0388,0.0399,0.04,0.0407,0.0392,0.0391,0.0389,0.0434,0.0448,0.0431,0.0432,0.0428,0.0431,0.0443,0.0441,0.0435,0.0448,0.0444,0.0445,0.0434,0.0437,0.0434,0.0456,0.0461,0.0444,0.043,0.0427,0.0452,0.0454,0.0433,0.0432,0.0434,0.0449,0.0439,0.0444,0.044,0.0431,0.0457,0.0452,0.0449,0.0451,0.046,0.0458,0.043,0.0433,0.0435,0.0434,0.045,0.0461,0.0428,0.0444,0.0442,0.0437,0.0461,0.0438,0.0429,0.0432,0.0437,0.044,0.0448,0.0456,0.0449,0.0449,0.0465,0.0452,0.0466,0.044,0.0429,0.0422,0.0434,0.0433,0.0443,0.0447,0.0456,0.0453,0.0452,0.0443,0.0463,0.0434,0.0399,0.0392,0.0392,0.0395,0.0396,0.0392,0.039,0.0404,0.0393,0.0402,0.0395,0.0389
7,10996.167,4.9,19.7,0.0392,0.0391,0.0406,0.0393,0.0414,0.0388,0.04,0.04,0.0407,0.0392,0.0392,0.039,0.0435,0.0449,0.0431,0.0432,0.0428,0.0432,0.0443,0.0441,0.0437,0.045,0.0446,0.0443,0.0434,0.0438,0.0435,0.0456,0.0463,0.0447,0.0431,0.0428,0.0461,0.0459,0.0436,0.0442,0.0436,0.045,0.044,0.0446,0.0441,0.0434,0.0458,0.045,0.0451,0.0452,0.0461,0.0494,0.0427,0.0434,0.0433,0.0431,0.0455,0.0468,0.043,0.0446,0.0444,0.044,0.0459,0.044,0.0427,0.0431,0.0437,0.0439,0.0455,0.0463,0.0455,0.0453,0.0469,0.0455,0.0464,0.0446,0.043,0.0422,0.0434,0.0428,0.0448,0.0451,0.0459,0.0453,0.0456,0.0448,0.0465,0.0442,0.0398,0.0391,0.039,0.0395,0.0396,0.039,0.0389,0.0404,0.0392,0.0402,0.0394,0.0389
8,12829.049,5.0,19.6,0.0392,0.0391,0.0406,0.0394,0.0413,0.0389,0.0399,0.0399,0.0406,0.0392,0.0391,0.039,0.0436,0.045,0.0431,0.0433,0.0428,0.0432,0.0445,0.0441,0.044,0.0453,0.045,0.0442,0.0436,0.044,0.0436,0.0459,0.0463,0.0447,0.0433,0.0429,0.0454,0.0458,0.0436,0.0437,0.0436,0.0451,0.0441,0.0447,0.0442,0.0434,0.046,0.0452,0.0455,0.0455,0.0465,0.0467,0.0426,0.0435,0.0434,0.043,0.046,0.0473,0.0434,0.045,0.0446,0.0444,0.0463,0.0449,0.0428,0.0432,0.0437,0.0438,0.0462,0.0471,0.046,0.0457,0.0472,0.0461,0.0469,0.0451,0.043,0.0423,0.0433,0.0428,0.0454,0.0459,0.0466,0.0459,0.0461,0.0449,0.0468,0.0443,0.0399,0.0392,0.0391,0.0396,0.0396,0.0391,0.039,0.0405,0.0393,0.0402,0.0394,0.0389
9,14661.852,5.0,19.6,0.0393,0.0391,0.0405,0.0393,0.0414,0.0388,0.0399,0.04,0.0407,0.0393,0.0391,0.039,0.0437,0.0452,0.0434,0.0435,0.043,0.0435,0.0447,0.0441,0.044,0.0454,0.0453,0.0449,0.0437,0.0441,0.0437,0.0459,0.0463,0.0447,0.0434,0.0429,0.0459,0.0461,0.0439,0.0438,0.0437,0.0452,0.0442,0.0448,0.0443,0.0435,0.0465,0.0453,0.0459,0.0458,0.047,0.0473,0.0427,0.0434,0.0432,0.0429,0.0465,0.0482,0.0438,0.0454,0.0451,0.0446,0.0464,0.045,0.0428,0.0432,0.0437,0.0439,0.0469,0.0479,0.0467,0.046,0.0478,0.0465,0.0467,0.0456,0.0428,0.0423,0.0431,0.0428,0.0461,0.0467,0.0469,0.0463,0.0462,0.0454,0.0466,0.0449,0.0399,0.0392,0.0392,0.0396,0.0396,0.0391,0.039,0.0405,0.0393,0.0402,0.0395,0.0389
10,16494.565,4.9,19.7,0.0393,0.0391,0.0406,0.0393,0.0413,0.0389,0.04,0.04,0.0407,0.0393,0.0392,0.039,0.0438,0.0452,0.0435,0.0436,0.043,0.0435,0.0448,0.0443,0.0445,0.0457,0.0457,0.0449,0.0438,0.0443,0.0439,0.0461,0.0466,0.0448,0.0434,0.0429,0.0463,0.0466,0.0443,0.0442,0.0439,0.0453,0.0444,0.0449,0.0444,0.0437,0.0462,0.0452,0.0463,0.0461,0.0475,0.0478,0.0426,0.0434,0.0433,0.0429,0.0477,0.0493,0.0444,0.046,0.0456,0.0451,0.0469,0.046,0.0427,0.0431,0.0437,0.0438,0.0477,0.0487,0.0474,0.0464,0.0481,0.0472,0.0471,0.0461,0.0428,0.0423,0.0433,0.0425,0.0468,0.0475,0.0478,0.047,0.0469,0.0466,0.0481,0.0455,0.0399,0.0392,0.0392,0.0396,0.0396,0.0391,0.039,0.0405,0.0392,0.0403,0.0394,0.0388
