cycle_n,time_s,CO2 %,O2 %,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,CCMB1:p1A.1,CCMB1:p1A.2,CCMB1:p1A.3,CCMB1:p1A.4,CCMB1:pFE-Rrub-FII-prk.1,CCMB1:pFE-Rrub-FII-prk.2,CCMB1:pFE-Rrub-FII-prk.3,CCMB1:pFE-Rrub-FII-prk.4,CCMB1:pFE-Reu-FI-prk.1,CCMB1:pFE-Reu-FI-prk.2,CCMB1:pFE-Reu-FI-prk.3,CCMB1:pFE-Reu-FI-prk.4,CCMB1:p1A.1,CCMB1:p1A.2,CCMB1:p1A.3,CCMB1:p1A.4,CCMB1:pFE-Rrub-FII-prk.1,CCMB1:pFE-Rrub-FII-prk.2,CCMB1:pFE-Rrub-FII-prk.3,CCMB1:pFE-Rrub-FII-prk.4,CCMB1:pFE-Reu-FI-prk.1,CCMB1:pFE-Reu-FI-prk.2,CCMB1:pFE-Reu-FI-prk.3,CCMB1:pFE-Reu-FI-prk.4,CCMB1:p1A.1,CCMB1:p1A.2,CCMB1:p1A.3,CCMB1:p1A.4,CCMB1:pFE-Rrub-FII-prk.1,CCMB1:pFE-Rrub-FII-prk.2,CCMB1:pFE-Rrub-FII-prk.3,CCMB1:pFE-Rrub-FII-prk.4,CCMB1:pFE-Reu-FI-prk.1,CCMB1:pFE-Reu-FI-prk.2,CCMB1:pFE-Reu-FI-prk.3,CCMB1:pFE-Reu-FI-prk.4,CCMB1:p1A K194M.1,CCMB1:p1A K194M.2,CCMB1:p1A K194M.3,CCMB1:p1A K194M.4,CCMB1:pFE-Rs-FI-prk.1,CCMB1:pFE-Rs-FI-prk.2,CCMB1:pFE-Rs-FI-prk.3,CCMB1:pFE-Rs-FI-prk.4,CCMB1:pFE-Selo-FI-prk.1,CCMB1:pFE-Selo-FI-prk.2,CCMB1:pFE-Selo-FI-prk.3,CCMB1:pFE-Selo-FI-prk.4,CCMB1:p1A K194M.2,CCMB1:p1A K194M.3,CCMB1:p1A K194M.4,CCMB1:p1A K194M.5,CCMB1:pFE-Rs-FI-prk.2,CCMB1:pFE-Rs-FI-prk.3,CCMB1:pFE-Rs-FI-prk.4,CCMB1:pFE-Rs-FI-prk.5,CCMB1:pFE-Selo-FI-prk.2,CCMB1:pFE-Selo-FI-prk.3,CCMB1:pFE-Selo-FI-prk.4,CCMB1:pFE-Selo-FI-prk.5,CCMB1:p1A K194M.3,CCMB1:p1A K194M.4,CCMB1:p1A K194M.5,CCMB1:p1A K194M.6,CCMB1:pFE-Rs-FI-prk.3,CCMB1:pFE-Rs-FI-prk.4,CCMB1:pFE-Rs-FI-prk.5,CCMB1:pFE-Rs-FI-prk.6,CCMB1:pFE-Selo-FI-prk.3,CCMB1:pFE-Selo-FI-prk.4,CCMB1:pFE-Selo-FI-prk.5,CCMB1:pFE-Selo-FI-prk.6,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
1,0.0,0.1,20.8,0.039,0.0421,0.0404,0.0394,0.0404,0.0387,0.0406,0.0403,0.0406,0.0389,0.0393,0.0391,0.0402,0.0474,0.041,0.0477,0.0461,0.0437,0.0471,0.0452,0.0416,0.0459,0.0409,0.043,0.0424,0.0527,0.0427,0.0478,0.0461,0.0475,0.044,0.0418,0.0464,0.0421,0.0419,0.0463,0.0396,0.0425,0.0635,0.0638,0.0464,0.043,0.0469,0.0462,0.044,0.0428,0.0447,0.0431,0.0422,0.0404,0.0424,0.0427,0.0438,0.0485,0.0401,0.0405,0.0403,0.0405,0.0416,0.0405,0.043,0.0393,0.0425,0.0402,0.0407,0.041,0.0419,0.0411,0.0412,0.04,0.0422,0.0406,0.0406,0.039,0.0411,0.0419,0.04,0.0409,0.0454,0.0422,0.0414,0.0418,0.0421,0.0406,0.0397,0.0392,0.0393,0.0398,0.0398,0.0393,0.0391,0.0402,0.0391,0.0398,0.0398,0.0389
2,1832.175,0.1,20.7,0.0389,0.0443,0.0404,0.0395,0.0402,0.0387,0.0403,0.0402,0.0405,0.0389,0.0392,0.039,0.0425,0.046,0.0434,0.0435,0.0439,0.0455,0.0443,0.0448,0.0431,0.0448,0.0418,0.0434,0.043,0.0757,0.0453,0.0641,0.0439,0.051,0.0447,0.045,0.0482,0.0439,0.0439,0.0432,0.0425,0.0449,0.1128,0.1035,0.0591,0.0504,0.0596,0.0625,0.0506,0.045,0.0488,0.05,0.0431,0.0434,0.0444,0.0437,0.0458,0.0453,0.0435,0.0443,0.044,0.0435,0.0442,0.0425,0.0439,0.0423,0.044,0.044,0.0441,0.0458,0.045,0.0443,0.0445,0.0441,0.0439,0.0437,0.0432,0.0423,0.0448,0.0439,0.0435,0.0438,0.0433,0.0447,0.0439,0.0442,0.0457,0.0424,0.0396,0.0392,0.0393,0.0398,0.0399,0.0393,0.039,0.0403,0.039,0.0397,0.0398,0.039
3,3665.023,0.1,20.7,0.0388,0.0453,0.0404,0.0395,0.0401,0.0387,0.0403,0.0402,0.0404,0.0389,0.0392,0.039,0.0427,0.0461,0.0436,0.0435,0.044,0.0458,0.0444,0.0449,0.0433,0.0448,0.042,0.0434,0.0431,0.0802,0.0454,0.069,0.0439,0.0511,0.0447,0.0453,0.0477,0.0439,0.0438,0.0432,0.0424,0.0452,0.1242,0.1159,0.0631,0.0531,0.0651,0.0665,0.0539,0.0458,0.0514,0.0521,0.0431,0.0433,0.0444,0.0436,0.0458,0.0455,0.0434,0.0443,0.0441,0.0434,0.0444,0.0425,0.0438,0.0423,0.044,0.0439,0.0441,0.0458,0.0452,0.0446,0.0447,0.0442,0.0441,0.0439,0.0431,0.0422,0.0445,0.0441,0.0436,0.0439,0.0436,0.0448,0.0439,0.0445,0.046,0.0427,0.0395,0.0391,0.0393,0.0396,0.0398,0.0393,0.039,0.0402,0.039,0.0397,0.0397,0.0389
4,5497.746,0.1,20.7,0.0388,0.0462,0.0404,0.0395,0.0401,0.0388,0.0403,0.0403,0.0404,0.0389,0.0392,0.0391,0.0427,0.0462,0.0436,0.0436,0.0439,0.046,0.0445,0.045,0.0433,0.0448,0.042,0.0438,0.0432,0.0857,0.0459,0.0724,0.044,0.0512,0.045,0.0461,0.0478,0.044,0.0439,0.0433,0.0425,0.0452,0.1325,0.1225,0.0661,0.0551,0.0686,0.07,0.0559,0.0466,0.0538,0.0532,0.0431,0.0434,0.0442,0.0436,0.0459,0.0453,0.0435,0.0444,0.0441,0.0436,0.0446,0.0427,0.0437,0.0422,0.0439,0.0438,0.0441,0.046,0.0452,0.0446,0.0447,0.0442,0.044,0.0441,0.0431,0.0423,0.0448,0.0438,0.0436,0.0441,0.0438,0.0449,0.0442,0.0446,0.0462,0.0427,0.0396,0.0391,0.0392,0.0397,0.0398,0.0393,0.0391,0.0403,0.0391,0.0397,0.0397,0.039
5,7330.666,0.1,20.7,0.0388,0.0468,0.0404,0.0396,0.0402,0.0387,0.0403,0.0402,0.0404,0.0389,0.0391,0.039,0.0427,0.0461,0.0436,0.0436,0.0441,0.0459,0.0446,0.0451,0.0432,0.0449,0.042,0.0441,0.0431,0.0896,0.0466,0.0747,0.044,0.0513,0.045,0.0467,0.0479,0.0441,0.044,0.0435,0.0426,0.0452,0.1397,0.1245,0.0674,0.056,0.0702,0.0709,0.0571,0.0468,0.0552,0.0548,0.0432,0.0433,0.0442,0.0435,0.046,0.0453,0.0435,0.0445,0.0441,0.0437,0.0446,0.0427,0.0438,0.0423,0.044,0.0436,0.044,0.0461,0.0454,0.0447,0.0448,0.0445,0.044,0.0451,0.0431,0.0422,0.0445,0.0439,0.0436,0.0442,0.0437,0.0449,0.0441,0.0447,0.0463,0.0428,0.0395,0.0391,0.0392,0.0397,0.0398,0.0392,0.039,0.0402,0.039,0.0397,0.0397,0.0389
6,9163.517,0.1,20.7,0.0389,0.0471,0.0403,0.0395,0.0401,0.0387,0.0401,0.0403,0.0405,0.039,0.0391,0.039,0.0427,0.0463,0.0437,0.0436,0.044,0.0459,0.0446,0.0452,0.0432,0.045,0.042,0.0436,0.0433,0.0913,0.047,0.0759,0.0439,0.0515,0.0451,0.0471,0.0478,0.044,0.0439,0.0435,0.0427,0.0452,0.1428,0.1237,0.0687,0.057,0.0722,0.0722,0.0581,0.0472,0.0563,0.0552,0.043,0.0432,0.0442,0.0434,0.0461,0.0455,0.0437,0.0444,0.0441,0.0437,0.0445,0.0428,0.0438,0.0423,0.044,0.0435,0.0441,0.0461,0.0453,0.0447,0.0449,0.0443,0.0442,0.0448,0.043,0.0421,0.0446,0.0436,0.0436,0.044,0.0437,0.045,0.0442,0.0446,0.0464,0.043,0.0396,0.039,0.0392,0.0397,0.0398,0.0393,0.039,0.0402,0.039,0.0397,0.0396,0.0389
7,10996.369,0.1,20.7,0.0389,0.0476,0.0403,0.0396,0.0401,0.0386,0.0402,0.0402,0.0404,0.0389,0.0392,0.039,0.0428,0.0462,0.0436,0.0438,0.044,0.0459,0.0446,0.0452,0.0433,0.0449,0.042,0.044,0.0432,0.0907,0.0471,0.0768,0.044,0.0515,0.045,0.0468,0.0476,0.0439,0.0439,0.0433,0.0425,0.0453,0.1437,0.1232,0.0693,0.0574,0.0731,0.0724,0.0585,0.0471,0.0566,0.0559,0.043,0.0432,0.044,0.0433,0.0461,0.0454,0.0435,0.0443,0.0439,0.0435,0.0447,0.0428,0.0438,0.0421,0.0439,0.0435,0.0442,0.046,0.0454,0.0446,0.0449,0.0443,0.0441,0.0442,0.043,0.0421,0.0443,0.0434,0.0437,0.044,0.0438,0.0451,0.0441,0.0447,0.0464,0.0429,0.0396,0.039,0.0392,0.0397,0.0398,0.0392,0.039,0.0401,0.039,0.0396,0.0395,0.0388
8,12829.086,0.1,20.7,0.0389,0.0477,0.0403,0.0396,0.0402,0.0387,0.0403,0.0403,0.0404,0.0389,0.0392,0.039,0.043,0.0462,0.0437,0.0438,0.0442,0.046,0.0447,0.0454,0.0434,0.0451,0.0422,0.0437,0.0435,0.0942,0.0478,0.0775,0.0442,0.0516,0.0454,0.047,0.0479,0.0442,0.0441,0.0434,0.0428,0.0453,0.1448,0.124,0.0697,0.0573,0.0735,0.0727,0.0589,0.0474,0.0572,0.0566,0.043,0.0431,0.044,0.0433,0.0465,0.0454,0.0438,0.0446,0.0441,0.0437,0.0448,0.0428,0.0436,0.0421,0.0439,0.0434,0.0442,0.0461,0.0455,0.0449,0.045,0.0445,0.0443,0.0466,0.0429,0.0422,0.0446,0.0437,0.0437,0.0441,0.0439,0.0452,0.0445,0.0448,0.0466,0.043,0.0396,0.0391,0.0392,0.0397,0.0398,0.0392,0.0389,0.0402,0.039,0.0397,0.0396,0.039
9,14662.054,0.1,20.7,0.0388,0.0477,0.0403,0.0396,0.0402,0.0387,0.0403,0.0403,0.0404,0.0389,0.0392,0.039,0.0429,0.0463,0.0437,0.0437,0.0441,0.0461,0.0448,0.0453,0.0433,0.045,0.0421,0.0436,0.0434,0.0945,0.0479,0.0779,0.0442,0.0514,0.0452,0.0472,0.0479,0.044,0.0441,0.0435,0.0428,0.0453,0.1454,0.1243,0.0696,0.0573,0.0741,0.0729,0.0589,0.0473,0.0571,0.0569,0.0429,0.0431,0.044,0.0433,0.0463,0.0454,0.0436,0.0447,0.044,0.0436,0.0446,0.0427,0.0437,0.0421,0.0438,0.0433,0.0444,0.0461,0.0457,0.0449,0.0449,0.0444,0.0443,0.0448,0.0427,0.042,0.0443,0.0433,0.0437,0.0441,0.044,0.045,0.0443,0.0447,0.0465,0.043,0.0395,0.039,0.0392,0.0396,0.0398,0.0391,0.0389,0.0401,0.039,0.0397,0.0396,0.0389
10,16494.887,0.1,20.7,0.0389,0.0478,0.0403,0.0396,0.0401,0.0387,0.0402,0.0403,0.0405,0.0389,0.0392,0.0389,0.0429,0.0463,0.0438,0.0437,0.0441,0.046,0.0447,0.0452,0.0434,0.045,0.042,0.044,0.0434,0.0949,0.0483,0.0784,0.0441,0.0516,0.0453,0.0472,0.0479,0.0441,0.044,0.0435,0.0426,0.0453,0.1459,0.1238,0.0697,0.0574,0.0747,0.0724,0.059,0.0474,0.0573,0.0572,0.0429,0.0431,0.0439,0.0433,0.0464,0.0455,0.0438,0.0446,0.044,0.0436,0.0446,0.0427,0.0437,0.042,0.0438,0.0433,0.0443,0.046,0.0455,0.0449,0.045,0.0444,0.0441,0.0443,0.0428,0.0421,0.0443,0.0435,0.0437,0.0441,0.0438,0.0451,0.0445,0.0447,0.0466,0.0431,0.0396,0.039,0.0392,0.0396,0.0398,0.0391,0.0389,0.0401,0.0389,0.0396,0.0396,0.0389
