cycle_n,time_s,CO2 %,O2 %,CCMB1GFP,CCMB1 lsPrk,CCMB1 prk2021,CCMB1 K194M,bwGFP,CAfree GFP,drpi GFP,drpi lsPrk,CCMB1GFP,CCMB1 lsPrk,CCMB1 prk2021,CCMB1 K194M,bwGFP,CAfree GFP,drpi GFP,drpi lsPrk,CCMB1GFP,CCMB1 lsPrk,CCMB1 prk2021,CCMB1 K194M,bwGFP,CAfree GFP,drpi GFP,drpi lsPrk,CCMB1GFP,CCMB1 lsPrk,CCMB1 prk2021,CCMB1 K194M,bwGFP,CAfree GFP,drpi GFP,drpi lsPrk,CCMB1GFP,CCMB1 lsPrk,CCMB1 prk2021,CCMB1 K194M,bwGFP,CAfree GFP,drpi GFP,drpi lsPrk,CCMB1GFP,CCMB1 lsPrk,CCMB1 prk2021,CCMB1 K194M,bwGFP,CAfree GFP,drpi GFP,drpi lsPrk,CCMB1GFP + aTc,CCMB1 lsPrk + aTc,CCMB1 prk2021 + aTc,CCMB1 K194M + aTc,bwGFP + aTc,CAfree GFP + aTc,drpi GFP + aTc,drpi lsPrk + aTc,CCMB1GFP + aTc,CCMB1 lsPrk + aTc,CCMB1 prk2021 + aTc,CCMB1 K194M + aTc,bwGFP + aTc,CAfree GFP + aTc,drpi GFP + aTc,drpi lsPrk + aTc,CCMB1GFP + aTc,CCMB1 lsPrk + aTc,CCMB1 prk2021 + aTc,CCMB1 K194M + aTc,bwGFP + aTc,CAfree GFP + aTc,drpi GFP + aTc,drpi lsPrk + aTc,CCMB1GFP + aTc,CCMB1 lsPrk + aTc,CCMB1 prk2021 + aTc,CCMB1 K194M + aTc,bwGFP + aTc,CAfree GFP + aTc,drpi GFP + aTc,drpi lsPrk + aTc,CCMB1GFP + aTc,CCMB1 lsPrk + aTc,CCMB1 prk2021 + aTc,CCMB1 K194M + aTc,bwGFP + aTc,CAfree GFP + aTc,drpi GFP + aTc,drpi lsPrk + aTc,CCMB1GFP + aTc,CCMB1 lsPrk + aTc,CCMB1 prk2021 + aTc,CCMB1 K194M + aTc,bwGFP + aTc,CAfree GFP + aTc,drpi GFP + aTc,drpi lsPrk + aTc
1,0.0,5.0,19.7,0.0442,0.0451,0.0527,0.0448,0.0774,0.0531,0.0702,0.053,0.0448,0.046,0.0465,0.0531,0.0622,0.0558,0.0462,0.0438,0.0444,0.0461,0.0468,0.0463,0.063,0.0603,0.0451,0.0437,0.0449,0.0469,0.0464,0.0456,0.0615,0.0536,0.0445,0.0435,0.0434,0.0459,0.0467,0.0452,0.061,0.0558,0.0455,0.0437,0.0432,0.0448,0.0464,0.059,0.0565,0.0548,0.0448,0.0433,0.0434,0.0453,0.0455,0.0445,0.0639,0.056,0.0448,0.0431,0.044,0.0466,0.0454,0.0445,0.0624,0.0536,0.0457,0.0435,0.0444,0.0469,0.047,0.0466,0.0635,0.0597,0.0458,0.0441,0.0444,0.0467,0.0467,0.0457,0.0617,0.0542,0.0451,0.044,0.0441,0.0455,0.0451,0.0451,0.0575,0.0534,0.0451,0.0432,0.0437,0.0453,0.0454,0.0448,0.0555,0.0545,0.0438,0.0438
2,1799.093,5.0,19.6,0.0444,0.0454,0.0748,0.0452,0.1027,0.0545,0.0728,0.059,0.045,0.0463,0.047,0.0589,0.0633,0.0546,0.0455,0.0439,0.0447,0.0465,0.047,0.0464,0.0614,0.0577,0.045,0.0439,0.0447,0.0467,0.0469,0.0459,0.0638,0.0554,0.0449,0.0437,0.0436,0.0457,0.0476,0.0456,0.0656,0.0584,0.0457,0.044,0.0433,0.0454,0.047,0.0658,0.0612,0.0569,0.0449,0.0434,0.0438,0.0458,0.0463,0.0449,0.0703,0.06,0.0448,0.0433,0.0443,0.047,0.0463,0.0453,0.0624,0.0561,0.0458,0.0437,0.0445,0.0472,0.0477,0.0469,0.073,0.0622,0.0463,0.0445,0.0446,0.0466,0.0467,0.0461,0.0648,0.0569,0.0454,0.0441,0.0443,0.0455,0.0454,0.0452,0.0595,0.0552,0.0455,0.0431,0.044,0.0457,0.0458,0.0451,0.0572,0.0568,0.0441,0.044
3,3599.015,5.0,19.7,0.0446,0.0458,0.0523,0.0454,0.0802,0.0583,0.0782,0.0601,0.0452,0.0465,0.0471,0.0595,0.0669,0.0573,0.0452,0.044,0.0448,0.0467,0.0474,0.0467,0.0661,0.061,0.0451,0.0438,0.0448,0.0468,0.0471,0.0461,0.0688,0.0584,0.045,0.0437,0.0437,0.0459,0.0478,0.0458,0.0713,0.0618,0.0457,0.0439,0.0434,0.0455,0.0473,0.0683,0.0677,0.0615,0.0449,0.0435,0.0438,0.0462,0.0466,0.0451,0.0775,0.064,0.0448,0.0432,0.0442,0.0473,0.0465,0.0455,0.0665,0.0589,0.0458,0.0437,0.0445,0.0479,0.0482,0.047,0.0801,0.0669,0.0463,0.0445,0.0446,0.047,0.0469,0.0461,0.0702,0.0604,0.0454,0.0441,0.0443,0.046,0.0457,0.0455,0.0641,0.0589,0.0455,0.043,0.0441,0.0459,0.046,0.0453,0.0598,0.0588,0.0442,0.0439
4,5398.956,5.0,19.7,0.0448,0.0458,0.0611,0.0454,0.0848,0.0649,0.0495,0.0619,0.0452,0.0467,0.0473,0.0597,0.0737,0.0614,0.0454,0.0439,0.0448,0.0468,0.0475,0.047,0.0723,0.0658,0.045,0.0439,0.0449,0.0469,0.0473,0.0463,0.0764,0.0643,0.045,0.0437,0.0437,0.046,0.048,0.0459,0.0789,0.0694,0.0458,0.0439,0.0435,0.0457,0.0475,0.0685,0.077,0.0694,0.0449,0.0435,0.0439,0.0467,0.0468,0.0454,0.0852,0.0706,0.0448,0.0432,0.0443,0.0479,0.0467,0.0455,0.0728,0.0636,0.0459,0.0437,0.0445,0.0485,0.0484,0.0472,0.0869,0.0729,0.0463,0.0445,0.0447,0.0476,0.0471,0.0462,0.077,0.0662,0.0455,0.0441,0.0443,0.0464,0.0458,0.0456,0.0715,0.0648,0.0456,0.043,0.0441,0.0465,0.0461,0.0455,0.0649,0.0633,0.0442,0.044
5,7198.893,5.0,19.7,0.0447,0.046,0.0696,0.0455,0.1025,0.0704,0.0787,0.062,0.0452,0.0469,0.0474,0.0601,0.0812,0.066,0.0456,0.044,0.0449,0.0469,0.0477,0.0468,0.0798,0.0686,0.0451,0.0439,0.045,0.0471,0.0474,0.0463,0.0855,0.0696,0.0451,0.0437,0.0438,0.0461,0.0483,0.046,0.0868,0.0771,0.046,0.044,0.0437,0.0459,0.0478,0.0678,0.089,0.0787,0.0449,0.0434,0.0441,0.0472,0.047,0.0455,0.0946,0.0779,0.0449,0.0432,0.0445,0.0486,0.0468,0.0457,0.0809,0.0702,0.0459,0.0439,0.0447,0.0492,0.0486,0.0475,0.0959,0.0797,0.0463,0.0445,0.0448,0.0482,0.0473,0.0464,0.086,0.0741,0.0456,0.0441,0.0444,0.0469,0.046,0.0458,0.0824,0.0721,0.0457,0.043,0.0442,0.0471,0.0463,0.0457,0.0726,0.0698,0.0443,0.0439
6,8998.828,5.0,19.7,0.045,0.0461,0.0679,0.0455,0.1229,0.0943,0.0566,0.0623,0.0455,0.047,0.0475,0.0592,0.0893,0.0655,0.0456,0.0442,0.0451,0.047,0.0477,0.047,0.0882,0.0718,0.0451,0.044,0.0452,0.0472,0.0475,0.0464,0.0952,0.0712,0.0451,0.0437,0.0439,0.0463,0.0486,0.0461,0.0945,0.0752,0.046,0.0441,0.0438,0.046,0.0479,0.0684,0.1009,0.0873,0.045,0.0435,0.0442,0.0481,0.0473,0.0458,0.1037,0.0812,0.0449,0.0431,0.0444,0.0497,0.047,0.0459,0.0892,0.0784,0.0462,0.0438,0.0448,0.0506,0.0488,0.0478,0.1047,0.0846,0.0464,0.0445,0.045,0.0492,0.0475,0.0466,0.0965,0.0764,0.0456,0.0441,0.0446,0.0479,0.0461,0.046,0.0943,0.0785,0.0457,0.043,0.0443,0.0481,0.0464,0.0458,0.0806,0.0757,0.0443,0.044
7,10798.751,5.0,19.7,0.0451,0.0461,0.0644,0.0457,0.1306,0.122,0.0627,0.0625,0.0456,0.0472,0.0478,0.0598,0.0995,0.0673,0.0459,0.0442,0.0452,0.0472,0.048,0.0472,0.0972,0.0752,0.0453,0.0441,0.0453,0.0473,0.0477,0.0465,0.1075,0.0767,0.0452,0.0438,0.044,0.0463,0.0486,0.0461,0.1027,0.0773,0.0461,0.0442,0.0439,0.0461,0.048,0.0679,0.1134,0.0919,0.0451,0.0436,0.0443,0.0495,0.0475,0.046,0.1139,0.0843,0.0452,0.0433,0.0445,0.0512,0.0471,0.0461,0.097,0.0846,0.0463,0.0439,0.0449,0.0522,0.0489,0.0481,0.1146,0.0904,0.0466,0.0446,0.0451,0.0506,0.0477,0.0468,0.1063,0.0839,0.0458,0.0441,0.0446,0.0494,0.0462,0.0462,0.1057,0.0777,0.0458,0.0431,0.0443,0.0497,0.0466,0.0461,0.0897,0.0806,0.0444,0.0441
8,12598.69,5.0,19.7,0.0453,0.0463,0.0596,0.0458,0.119,0.1682,0.0681,0.0626,0.0456,0.0473,0.0479,0.06,0.1113,0.0781,0.0458,0.0441,0.0454,0.0472,0.0481,0.0474,0.1051,0.0726,0.0455,0.044,0.0455,0.0475,0.0478,0.0467,0.1203,0.0827,0.0454,0.0438,0.0441,0.0465,0.0489,0.0463,0.1114,0.0837,0.0464,0.0441,0.0441,0.0463,0.0481,0.0676,0.1281,0.0877,0.0453,0.0435,0.0445,0.0514,0.0475,0.0464,0.125,0.0852,0.0452,0.0433,0.0446,0.0529,0.0472,0.0463,0.1052,0.0858,0.0464,0.0441,0.045,0.0544,0.0491,0.0483,0.1237,0.0831,0.0468,0.0446,0.0453,0.0525,0.0478,0.0472,0.115,0.0815,0.046,0.0442,0.0448,0.0512,0.0463,0.0464,0.1159,0.0776,0.0461,0.0431,0.0444,0.0514,0.0466,0.0466,0.1012,0.0877,0.0446,0.0441
9,14398.614,5.0,19.7,0.0453,0.0466,0.0578,0.0459,0.1401,0.1283,0.0519,0.0627,0.0458,0.0475,0.048,0.0595,0.1216,0.083,0.046,0.0442,0.0455,0.0474,0.0482,0.0475,0.1147,0.0776,0.0455,0.0441,0.0456,0.0477,0.048,0.0467,0.1334,0.0876,0.0455,0.0439,0.0442,0.0467,0.0489,0.0464,0.1213,0.0885,0.0465,0.0442,0.0442,0.0465,0.0483,0.0675,0.1443,0.0897,0.0455,0.0436,0.0445,0.0537,0.0477,0.0466,0.1377,0.088,0.0455,0.0433,0.0448,0.0554,0.0474,0.0466,0.1144,0.0867,0.0466,0.0444,0.0451,0.0575,0.0493,0.0488,0.134,0.0859,0.047,0.0446,0.0453,0.0549,0.0479,0.0474,0.1239,0.086,0.0462,0.0443,0.0448,0.0534,0.0464,0.0467,0.1266,0.0822,0.0463,0.0431,0.0446,0.0539,0.0468,0.0468,0.1164,0.0948,0.0448,0.044
10,16198.523,5.0,19.7,0.0455,0.0465,0.0603,0.046,0.1443,0.1225,0.0569,0.0625,0.0459,0.0477,0.0482,0.0584,0.1354,0.0917,0.046,0.0442,0.0456,0.0476,0.0483,0.0476,0.1252,0.0818,0.0456,0.0442,0.0457,0.0478,0.0481,0.0468,0.1465,0.0952,0.0456,0.0438,0.0443,0.0468,0.049,0.0465,0.1326,0.0964,0.0467,0.0443,0.0443,0.0466,0.0483,0.0681,0.1611,0.0973,0.0456,0.0437,0.0446,0.0568,0.0479,0.047,0.1488,0.0928,0.0456,0.0434,0.0449,0.0585,0.0474,0.0468,0.1243,0.0927,0.0469,0.045,0.0452,0.0613,0.0494,0.0492,0.1425,0.0929,0.0471,0.0447,0.0455,0.0579,0.048,0.0477,0.1328,0.0949,0.0463,0.0442,0.0449,0.0563,0.0464,0.047,0.1378,0.0904,0.0463,0.0432,0.0447,0.0571,0.0469,0.0472,0.1348,0.1039,0.045,0.0441
