gene_oid,Locus Tag,Gene Product Name,Genome ID,Genome Name,Gene Symbol,GenBank Accession,Chromosome,Start Coord,End Coord,Strand,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Locus Type,Is Pseudogene,Is Obsolete,Is Partial Gene,Add Date,Is Public,Transmembrane Helices,Signal Peptides,Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,Pfam,Tigrfam,Enzyme,KO,IMG Term,Alt. Contact Email,Alt. Contact Name,Alt2. Contact Emails (GOLD),Alt2. Contact Names (GOLD),Altitude In Meters,Biotic Relationships,Cell Arrangement,Cell Shape,Chlorophyll concentration,Clade,Contact Email,Contact Name,Culture Type,Cultured,Depth In Meters,Diseases,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Ecotype,Energy Source,Funding Program,Funding Year,Geographic Location,GOLD Sequencing Depth,GOLD Sequencing Quality,GOLD Sequencing Strategy,GPTS Proposal ID,Gram Staining,Habitat,HMP ID,Host Gender,Host Name,Is Published,Isolation,Isolation Country,ITS Proposal ID,ITS SP ID,Latitude,Longhurst Code,Longhurst Description,Longitude,Medical Record Number,Metabolism,Motility,NCBI Bioproject Accession,NCBI Biosample Accession,Nitrate Concentration,Oxygen concentration,Oxygen Requirement,pH,Phenotype,PMO Project ID,Pressure,Project / Study Name,Proportal Isolation,Proportal Ocean,Proportal Station,Proportal WOA Dissolved Oxygen,Proportal WOA Nitrate,Proportal WOA Phosphate,Proportal WOA Salinity,Proportal WOA Silicate,Proportal WOA Temperature,Pubmed ID,Relevance,Salinity,Salinity Concentration,Sample Body Site,Sample Body Subsite,Sample Collection Date ,Sample Collection Temperature,Seq Status,Sequencing Method,Specific Ecosystem,Sporulation,Temperature Range,Type Strain,Uncultured Type,Visits,is_ca,is_dab1
2695649613,Ga0106711_11390,hypothetical protein,2695420359,Staphylococcus aureus NRS70 GCA_001019305.1,,,,398267,400972,-,2706,901,CDS,No,No,,9/17/16,Yes,,,2695422775,Ga0106711_11,Staphylococcus aureus NRS70 : Ga0106711_11,2814658.0,0.33,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,_,_,Level 6: Finished,Whole Genome Sequencing,_,Gram+,_,_,_,_,No,respritory; pharyngeal smear,_,_,_,_,_,_,_,_,_,_,PRJNA231221,SAMN03255448,_,_,_,_,_,_,_,Staphylococcus aureus NRS70,_,_,_,_,_,_,_,_,_,_,Medical,_,_,_,_,_,_,Complete,"PacBio RS, Illumina",_,_,_,_,_,_,False,True
2572506263,N575DRAFT_02710,hypothetical protein,2571042428,Staphylococcus aureus aureus Tager 104,,,,164780,167485,+,2706,901,CDS,No,No,,5/26/14,Yes,,,2571112858,N575DRAFT_AVBR01000020_1.20,Staphylococcus aureus aureus Tager 104 : N575DRAFT_AVBR01000020_1.20,243032.0,0.33,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,_,50.0x,Level 6: Finished,Whole Genome Sequencing,_,Gram+,_,_,_,Homo sapiens,Yes,_,USA,_,_,_,_,_,_,_,_,_,PRJNA213989,SAMN02393830,_,_,_,_,_,_,_,Staphylococcus aureus aureus Tager 104,_,_,_,_,_,_,_,_,_,24029757,Medical,_,_,_,_,_,_,Complete,"PacBio RS, Illumina MiSeq",_,_,_,Unknown,_,_,False,True
2772987120,Ga0198653_11174,hypothetical protein,2772190779,Thiomonas intermedia ATCC 15466,,,,199867,202980,+,3114,1037,CDS,No,No,,3/13/18,Yes,,,2772212029,Ga0198653_11,Thiomonas intermedia ATCC 15466 : Ga0198653_11,3301026.0,0.65,1.0,,pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,Environmental,Terrestrial,Unclassified,Soil,_,_,_,_,_,_,Level 6: Finished,Whole Genome Sequencing,_,Gram-,Soil,_,_,_,No,Soil,_,_,_,_,_,_,_,_,_,_,PRJNA359731,SAMN06197299,_,_,_,_,_,_,_,Thiomonas intermedia ATCC 15466,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,Complete,"PacBio RS, Illumina HiSeq",Unclassified,_,_,Yes,_,_,False,True
637597193,GK0443,hypothetical protein,637000118,Geobacillus kaustophilus HTA426,GK0443,YP_146296,,485326,487938,+,2613,870,CDS,No,No,,10/2/06,Yes,,,637000323,NC_006510,Geobacillus kaustophilus HTA426: NC_006510,3544776.0,0.52,,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,NCKyrpides@lbl.gov,Nikos Kyrpides,takamih@jamstec.go.jp; nckyrpides@lbl.gov,Hideto Takami; Nikos Kyrpides,_,Free living,_,Rod-shaped,_,_,takamih@jamstec.go.jp,Hideto Takami,Isolate,Yes,10897,_,Environmental,Aquatic,Oceanic,Marine,_,Chemoorganotroph,_,_,"Challanger Deep, Mariana Trench",_,Level 6: Finished,Whole Genome Sequencing,_,Gram+,"Deep sea, Marine, Marine sediment",_,_,_,Yes,mud from the bottom of Challanger Deep in the Mariana Trench,Pacific Ocean,_,_,11.35185,_,_,142.4325,_,_,Motile,PRJNA13233,_,_,_,Aerobe,_,_,_,_,Geobacillus kaustophilus HTA426,_,_,_,_,_,_,_,_,_,15576355,Biotechnological,_,_,_,_,_,_,Complete,_,Sediment,Sporulating,Thermophile,Unknown,_,_,False,True
2668372878,Ga0111752_11369,hypothetical protein,2667527494,Staphylococcus aureus 71A_S11,,,,421735,424440,+,2706,901,CDS,No,No,,5/7/16,Yes,,,2667541921,Ga0111752_11,Staphylococcus aureus 71A_S11 : Ga0111752_11,2756431.0,0.33,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,_,_,Level 6: Finished,Whole Genome Sequencing,_,Gram+,_,_,_,_,No,_,_,_,_,_,_,_,_,_,_,_,PRJNA274731,SAMN03339002,_,_,_,_,_,_,_,Staphylococcus aureus 71A_S11,_,_,_,_,_,_,_,_,_,_,Medical,_,_,_,_,_,_,Complete,Illumina MiSeq,_,_,_,_,_,_,False,True
2832976760,Ga0337725_2370,hypothetical protein,2832974391,Sulfuriferula sp. AH1,,,,2274402,2277008,+,2607,868,CDS,No,No,,7/30/19,Yes,,,2832974391,Ga0337725_01,Ga0337725_01 : Sulfuriferula sp. AH1,2877007.0,0.55,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,"USA: Hibbing, MN",_,Level 6: Finished,Whole Genome Sequencing,_,_,_,_,_,_,No,Weathered rock sample,USA,_,_,_,_,_,_,_,_,_,PRJNA385486,SAMN06891141,_,_,_,_,_,_,_,Sulfuriferula sp. AH1,_,_,_,_,_,_,_,_,_,_,Environmental,_,_,_,_,_,_,Complete,PacBio RS,_,_,_,_,_,_,False,True
646867062,SAPIG0519,conserved hypothetical protein,646862343,Staphylococcus aureus aureus ST398,,CAQ48957,,530840,533545,+,2706,901,CDS,No,No,,6/24/10,Yes,,,646862301,AM990992,"Staphylococcus aureus subsp. aureus ST398 complete genome, isolate SO385.: AM990992",2872582.0,0.33,,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,NCKyrpides@lbl.gov,Nikos Kyrpides,nckyrpides@lbl.gov,Nikos Kyrpides,_,Free living,"Clusters, Singles",Coccus-shaped,_,_,_,_,Isolate,Yes,_,"Endocarditis, Mastitis, Meningitis, Osteomyelitis, Phlebitis, Pneumonia, Septicemia",Host-associated,Unclassified,Unclassified,Unclassified,_,Heterotroph,_,_,_,16x,Level 6: Finished,Whole Genome Sequencing,_,Gram+,Host,_,_,Homo sapiens,Yes,_,_,_,_,_,_,_,_,_,_,Nonmotile,PRJEA29427,_,_,_,Facultative,_,"Meticillin resistant, Pathogen",_,_,Staphylococcus aureus aureus ST398,_,_,_,_,_,_,_,_,_,20546576,"Human Pathogen, Medical",_,_,_,_,_,_,Complete,"454, Solexa",Unclassified,Nonsporulating,Mesophile,Unknown,_,_,False,True
2514254091,SAEMRSA15_03780,hypothetical protein,2513237252,Staphylococcus aureus aureus HO 5096 0412,,,,440670,443375,+,2706,901,CDS,No,No,,5/22/12,Yes,,,2513260738,HE681097,Staphylococcus aureus aureus HO 5096 0412 : HE681097,2832299.0,0.33,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,_,_,Level 6: Finished,Whole Genome Sequencing,_,Gram+,_,_,_,_,Yes,_,_,_,_,_,_,_,_,_,_,_,PRJEA71279,_,_,_,_,_,_,_,_,Staphylococcus aureus aureus HO 5096 0412,_,_,_,_,_,_,_,_,_,23299977,Medical,_,_,_,_,_,_,Complete,_,_,_,_,Unknown,_,_,False,True
2688039159,Ga0125295_11461,hypothetical protein,2687453249,Staphylococcus aureus RIVM1607,,,,491148,493853,+,2706,901,CDS,No,No,,7/27/16,Yes,,,2687453720,Ga0125295_11,Staphylococcus aureus RIVM1607 : Ga0125295_11,2769573.0,0.33,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,Netherlands: Bilthoven,_,Level 6: Finished,Whole Genome Sequencing,_,Gram+,_,_,_,_,No,_,Netherlands,_,_,52.13,_,_,5.21,_,_,_,PRJNA305475,SAMN04325938,_,_,_,_,_,_,_,Staphylococcus aureus RIVM1607,_,_,_,_,_,_,_,_,_,_,Medical,_,_,_,_,_,_,Complete,"454, Illumina",_,_,_,_,_,_,False,True
637815352,SAB0403,hypothetical protein,637000272,Staphylococcus aureus RF122,,YP_415902,,439377,442082,+,2706,901,CDS,No,No,,10/2/06,Yes,,,637000460,NC_007622,Staphylococcus aureus RF122: NC_007622,2742531.0,0.33,,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,NCKyrpides@lbl.gov,Nikos Kyrpides,vkapur@umn.edu; nckyrpides@lbl.gov,Kapur V; Nikos Kyrpides,_,Free living,"Clusters, Pairs, Singles",Coccus-shaped,_,_,vkapur@umn.edu,Kapur V,Isolate,Yes,_,"Mastitis, Nosocomial infection",Host-associated,Mammals,Unclassified,Unclassified,_,Heterotroph,_,_,Ireland,6.5x,Level 6: Finished,Whole Genome Sequencing,_,Gram+,Host,_,_,Bos taurus,Yes,cow presenting with clinical mastitis in 1993,Ireland,_,_,_,_,_,_,_,_,Nonmotile,PRJNA63,SAMEA3138186,_,_,Facultative,_,Pathogen,_,_,Staphylococcus aureus RF122,_,_,_,_,_,_,_,_,_,17971880,"Animal Pathogen, Cattle Pathogen, Human Pathogen, Medical, Poultry Pathogen",_,_,_,_,_,_,Complete,_,Unclassified,Nonsporulating,Mesophile,Unknown,_,_,False,True
